"group","group_name","sentence","intercept","hard_rank","easy_rank"
"word_group","Word","charlie plays soccer well",-0.307373427143481,1,24
"word_group","Word","boy plays football well",-0.299670356370692,2,23
"word_group","Word","boy plays soccer well",-0.293979195448048,3,22
"word_group","Word","charlie plays football well",-0.287431916543239,4,21
"word_group","Word","football is played well by charlie",-0.258698671117644,5,20
"word_group","Word","football is played well by boy",-0.253291976168937,6,19
"word_group","Word","soccer is played well by charlie",-0.252876735682364,7,18
"word_group","Word","soccer is played well by boy",-0.249135530977057,8,17
"word_group","Word","football is played badly by charlie",0.0249276638447617,9,16
"word_group","Word","soccer is played badly by boy",0.026443487522508,10,15
"word_group","Word","boy plays football badly",0.0303380346227881,11,14
"word_group","Word","charlie plays soccer badly",0.0314535348422525,12,13
"word_group","Word","boy plays soccer badly",0.032812859137704,13,12
"word_group","Word","charlie plays football badly",0.0328977736444801,14,11
"word_group","Word","football is played badly by boy",0.0370902481358965,15,10
"word_group","Word","soccer is played badly by charlie",0.0382417515363359,16,9
"word_group","Word","charlie plays soccer",0.23520981188537,17,8
"word_group","Word","boy plays soccer",0.236157742492375,18,7
"word_group","Word","boy plays football",0.236921921999333,19,6
"word_group","Word","charlie plays football",0.238191516166651,20,5
"word_group","Word","football is played by charlie",0.248396287987212,21,4
"word_group","Word","soccer is played by boy",0.249417983322009,22,3
"word_group","Word","soccer is played by charlie",0.251792831451614,23,2
"word_group","Word","football is played by boy",0.252164360913556,24,1
"sentence_group","Sentence","sophia beats boy with difficulty in bedroom",-0.139068364820641,1,320
"sentence_group","Sentence","sophia beats charlie with difficulty in bedroom",-0.138757766893398,2,319
"sentence_group","Sentence","sophia beats charlie with difficulty in shower",-0.13686215512117,3,318
"sentence_group","Sentence","sophia beats boy with difficulty in bathroom",-0.136762612390856,4,317
"sentence_group","Sentence","sophia beats charlie with difficulty in bathroom",-0.136551544075455,5,316
"sentence_group","Sentence","sophia beats boy with difficulty in shower",-0.135375107554776,6,315
"sentence_group","Sentence","heidi beats charlie with difficulty in bathroom",-0.10366977820327,7,314
"sentence_group","Sentence","heidi beats boy with difficulty in bathroom",-0.103571903201266,8,313
"sentence_group","Sentence","sophia beats charlie with difficulty inside",-0.103032339707485,9,312
"sentence_group","Sentence","sophia beats boy with difficulty inside",-0.102188329074627,10,311
"sentence_group","Sentence","heidi beats boy with difficulty in shower",-0.101816170844414,11,310
