group_name,output_key,split,sentence,competing_formulas,competing_score,competing_scores,complexity_level,composition_preference,described_formulas,described_score,described_scores,location_score,lose_score,modifier_count,num_competing_events,num_described_events,play_score,play_toy_score,route_preference,systematicity_pattern_original,theoretical_max,theoretical_min,tokens,win_score
Word,word_group,train,boy plays soccer,(play_game charlie chess)|(play_game charlie hide_n_seek),-0.9919695556163788,-0.9872159361839294|-0.9967231750488281,Canonical,,(play_game charlie soccer),0.9541793465614319,0.9541793465614319,,,0,2,1,,,,True,1.0,-1.0,boy|plays|soccer,
Word,word_group,train,charlie plays football,(play_game charlie chess)|(play_game charlie hide_n_seek),-0.9919320046901703,-0.9871514439582825|-0.9967125654220581,Canonical,,(play_game charlie soccer),0.9540035128593445,0.9540035128593445,,,0,2,1,,,,True,1.0,-1.0,charlie|plays|football,
Word,word_group,train,football is played by charlie,(play_game charlie chess)|(play_game charlie hide_n_seek),-0.9940901100635529,-0.9912335276603699|-0.9969466924667358,Canonical,,(play_game charlie soccer),0.9537022113800049,0.9537022113800049,,,0,2,1,,,,True,1.0,-1.0,football|is|played|by|charlie,
Word,word_group,train,soccer is played by boy,(play_game charlie chess)|(play_game charlie hide_n_seek),-0.9941596686840057,-0.9913432002067566|-0.9969761371612549,Canonical,,(play_game charlie soccer),0.9538540244102478,0.9538540244102478,,,0,2,1,,,,True,1.0,-1.0,soccer|is|played|by|boy,
Word,word_group,test,boy plays football,(play_game charlie chess)|(play_game charlie hide_n_seek),-0.9920656979084015,-0.9874033331871033|-0.9967280626296997,Canonical,,(play_game charlie soccer),0.954042911529541,0.954042911529541,,,0,2,1,,,,True,1.0,-1.0,boy|plays|football,
Word,word_group,test,charlie plays soccer,(play_game charlie chess)|(play_game charlie hide_n_seek),-0.9918338656425476,-0.9869601130485535|-0.9967076182365417,Canonical,,(play_game charlie soccer),0.9541382789611816,0.9541382789611816,,,0,2,1,,,,True,1.0,-1.0,charlie|plays|soccer,
Word,word_group,test,football is played by boy,(play_game charlie chess)|(play_game charlie hide_n_seek),-0.9941877722740173,-0.9914063215255737|-0.9969692230224609,Canonical,,(play_game charlie soccer),0.9538947939872742,0.9538947939872742,,,0,2,1,,,,True,1.0,-1.0,football|is|played|by|boy,
Word,word_group,test,soccer is played by charlie,(play_game charlie chess)|(play_game charlie hide_n_seek),-0.9940616190433502,-0.9911693930625916|-0.9969538450241089,Canonical,,(play_game charlie soccer),0.9536610245704651,0.9536610245704651,,,0,2,1,,,,True,1.0,-1.0,soccer|is|played|by|charlie,
Sentence,sentence_group,train,boy beats sophia,(win heidi)|(win sophia)|(lose charlie),-0.953455646832784,-0.9770463705062866|-0.9464566707611084|-0.936863899230957,Canonical,-0.018275022506713867,(win charlie)|(lose sophia)|(and (win charlie) (lose sophia)),0.8376470804214478,0.9203609228134155|0.7914832830429077|0.8376470804214478,,0.7914832830429077,0,3,3,,,,True,1.0,-0.9568905035654703,boy|beats|sophia,0.9203609228134155
Sentence,sentence_group,train,boy loses to sophia,(lose sophia)|(win charlie)|(win heidi),-0.9238136609395345,-0.9339461922645569|-0.9038697481155396|-0.9336250424385071,Canonical,-0.022438496351242065,(win sophia)|(lose charlie)|(and (lose charlie) (win sophia)),0.8525984287261963,0.9016394019126892|0.8484344482421875|0.8525984287261963,,0.8484344482421875,0,3,3,,,,True,1.0,-0.9643286069234213,boy|loses|to|sophia,0.9016394019126892
Sentence,sentence_group,train,charlie beats sophia,(win heidi)|(win sophia)|(lose charlie),-0.9535555839538574,-0.9770803451538086|-0.9465764760971069|-0.9370099306106567,Canonical,-0.018267840147018433,(win charlie)|(lose sophia)|(and (win charlie) (lose sophia)),0.8378256559371948,0.9205136299133301|0.7916733622550964|0.8378256559371948,,0.7916733622550964,0,3,3,,,,True,1.0,-0.9568905035654703,charlie|beats|sophia,0.9205136299133301
Sentence,sentence_group,train,charlie loses to sophia,(lose sophia)|(win charlie)|(win heidi),-0.9237597386042277,-0.9338740706443787|-0.9038803577423096|-0.9335247874259949,Canonical,-0.022447556257247925,(win sophia)|(lose charlie)|(and (lose charlie) (win sophia)),0.8525702953338623,0.9015771150588989|0.8484585881233215|0.8525702953338623,,0.8484585881233215,0,3,3,,,,True,1.0,-0.9643286069234213,charlie|loses|to|sophia,0.9015771150588989
Sentence,sentence_group,train,heidi beats boy,(win charlie)|(win sophia)|(lose heidi),-0.9788674116134644,-0.9600046277046204|-0.9874382019042969|-0.9891594052314758,Canonical,-0.02973771095275879,(win heidi)|(lose charlie)|(and (win heidi) (lose charlie)),0.9066852927207947,0.9591187834739685|0.9137272238731384|0.9066852927207947,,0.9137272238731384,0,3,3,,,,True,1.0,-0.9862007300059,heidi|beats|boy,0.9591187834739685
Sentence,sentence_group,train,heidi beats charlie,(win charlie)|(win sophia)|(lose heidi),-0.9788300395011902,-0.9600458145141602|-0.9873352646827698|-0.9891090393066406,Canonical,-0.029894888401031494,(win heidi)|(lose charlie)|(and (win heidi) (lose charlie)),0.9062391519546509,0.958959698677063|0.9133083820343018|0.9062391519546509,,0.9133083820343018,0,3,3,,,,True,1.0,-0.9862007300059,heidi|beats|charlie,0.958959698677063
Sentence,sentence_group,train,heidi loses to boy,(lose charlie)|(win heidi)|(win sophia),-0.9258506099383036,-0.9218317866325378|-0.9742199778556824|-0.8815000653266907,Canonical,-0.07239717245101929,(win charlie)|(lose heidi)|(and (lose heidi) (win charlie)),0.7036330103874207,0.8909943699836731|0.6610659956932068|0.7036330103874207,,0.6610659956932068,0,3,3,,,,True,1.0,-0.9786379535992941,heidi|loses|to|boy,0.8909943699836731
Sentence,sentence_group,train,heidi loses to charlie,(lose charlie)|(win heidi)|(win sophia),-0.9252028663953146,-0.9208739399909973|-0.9738442301750183|-0.880890429019928,Canonical,-0.07276564836502075,(win charlie)|(lose heidi)|(and (lose heidi) (win charlie)),0.7021558284759521,0.890674352645874|0.6591686010360718|0.7021558284759521,,0.6591686010360718,0,3,3,,,,True,1.0,-0.9786379535992941,heidi|loses|to|charlie,0.890674352645874
Sentence,sentence_group,train,sophia beats heidi,(win charlie)|(win heidi)|(lose sophia),-0.9777229825655619,-0.9717307686805725|-0.9821183085441589|-0.9793198704719543,Canonical,-0.032542407512664795,(win sophia)|(lose heidi)|(and (win sophia) (lose heidi)),0.8994180560112,0.9397907257080078|0.9241302013397217|0.8994180560112,,0.9241302013397217,0,3,3,,,,True,1.0,-0.9908405145009359,sophia|beats|heidi,0.9397907257080078
Sentence,sentence_group,train,sophia loses to heidi,(lose heidi)|(win charlie)|(win sophia),-0.9700141151746114,-0.9772098660469055|-0.9510695934295654|-0.9817628860473633,Canonical,-0.03897404670715332,(win heidi)|(lose sophia)|(and (lose sophia) (win heidi)),0.874934732913971,0.9363763928413391|0.8914411664009094|0.874934732913971,,0.8914411664009094,0,3,3,,,,True,1.0,-0.9834784269332886,sophia|loses|to|heidi,0.9363763928413391
Sentence,sentence_group,test,boy beats heidi,(win heidi)|(win sophia)|(lose charlie),-0.76985236008962,-0.7681021094322205|-0.8580830693244934|-0.683371901512146,Canonical,-0.06339094042778015,(win charlie)|(lose heidi)|(and (win charlie) (lose heidi)),0.5544852018356323,0.7922051548957825|0.4435471296310425|0.5544852018356323,,0.4435471296310425,0,3,3,,,-0.06339094042778015,True,1.0,-0.9786379535992941,boy|beats|heidi,0.7922051548957825
Sentence,sentence_group,test,boy loses to heidi,(lose heidi)|(win charlie)|(win sophia),-0.9061168432235718,-0.9117842316627502|-0.9623886346817017|-0.8441776633262634,Canonical,-0.08827158808708191,(win heidi)|(lose charlie)|(and (lose charlie) (win heidi)),0.7456728219985962,0.8648621439933777|0.8030266761779785|0.7456728219985962,,0.8030266761779785,0,3,3,,,-0.08827158808708191,True,1.0,-0.9862007300059,boy|loses|to|heidi,0.8648621439933777
Sentence,sentence_group,test,charlie beats heidi,(win heidi)|(win sophia)|(lose charlie),-0.7673396666844686,-0.7642021775245667|-0.858719527721405|-0.6790972948074341,Canonical,-0.06272949278354645,(win charlie)|(lose heidi)|(and (win charlie) (lose heidi)),0.5532000660896301,0.7905429005622864|0.4413162171840668|0.5532000660896301,,0.4413162171840668,0,3,3,,,-0.06272949278354645,True,1.0,-0.9786379535992941,charlie|beats|heidi,0.7905429005622864
Sentence,sentence_group,test,charlie loses to heidi,(lose heidi)|(win charlie)|(win sophia),-0.9063721696535746,-0.9120208621025085|-0.9623982906341553|-0.8446973562240601,Canonical,-0.08863765001296997,(win heidi)|(lose charlie)|(and (lose charlie) (win heidi)),0.7448371648788452,0.8652018904685974|0.801747739315033|0.7448371648788452,,0.801747739315033,0,3,3,,,-0.08863765001296997,True,1.0,-0.9862007300059,charlie|loses|to|heidi,0.8652018904685974
Sentence,sentence_group,test,heidi beats sophia,(win charlie)|(win sophia)|(lose heidi),-0.9775681495666504,-0.9668982028961182|-0.9845371842384338|-0.9812690615653992,Canonical,-0.03281879425048828,(win heidi)|(lose sophia)|(and (win heidi) (lose sophia)),0.8949952721595764,0.9442917704582214|0.911336362361908|0.8949952721595764,,0.911336362361908,0,3,3,,,-0.03281879425048828,True,1.0,-0.9834784269332886,heidi|beats|sophia,0.9442917704582214
