group_name,output_key,split,sentence,competing_formulas,competing_score,competing_scores,complexity_level,composition_preference,described_formulas,described_score,described_scores,location_score,lose_score,manner_score,modifier_count,num_competing_events,num_described_events,play_score,play_toy_score,route_preference,systematicity_pattern_original,theoretical_max,theoretical_min,tokens,win_score
Word,word_group,train,boy plays soccer,(play_game charlie chess)|(play_game charlie hide_n_seek),-0.9894815981388092,-0.9843836426734924|-0.994579553604126,Canonical,,(play_game charlie soccer),0.9674354195594788,0.9674354195594788,,,,0,2,1,,,,True,1.0,-1.0,boy|plays|soccer,
Word,word_group,train,boy plays soccer badly,(play_game charlie chess)|(play_game charlie hide_n_seek)|(play_manner charlie well),-0.928738534450531,-0.9921499490737915|-0.9879733324050903|-0.8060923218727112,Manner,,(play_game charlie soccer)|(play_manner charlie badly)|(and (play_game charlie soccer) (play_manner charlie badly)),0.815220832824707,0.9788371920585632|0.7510907649993896|0.815220832824707,,,,1,3,3,,,,False,1.0,-0.9427472352981567,boy|plays|soccer|badly,
Word,word_group,train,boy plays soccer well,(play_game charlie chess)|(play_game charlie hide_n_seek)|(play_manner charlie badly),-0.8844913045565287,-0.8157227039337158|-0.9426824450492859|-0.8950687646865845,Manner,,(play_game charlie soccer)|(play_manner charlie well)|(and (play_game charlie soccer) (play_manner charlie well)),0.7174269556999207,0.9283707737922668|0.7327541708946228|0.7174269556999207,,,,1,3,3,,,,False,1.0,-0.8903494675954183,boy|plays|soccer|well,
Word,word_group,train,charlie plays football,(play_game charlie chess)|(play_game charlie hide_n_seek),-0.9888677000999451,-0.9834066033363342|-0.9943287968635559,Canonical,,(play_game charlie soccer),0.9675545692443848,0.9675545692443848,,,,0,2,1,,,,True,1.0,-1.0,charlie|plays|football,
Word,word_group,train,charlie plays football badly,(play_game charlie chess)|(play_game charlie hide_n_seek)|(play_manner charlie well),-0.9286332130432129,-0.9918754696846008|-0.987743616104126|-0.8062805533409119,Manner,,(play_game charlie soccer)|(play_manner charlie badly)|(and (play_game charlie soccer) (play_manner charlie badly)),0.815100908279419,0.9785910844802856|0.7510253190994263|0.815100908279419,,,,1,3,3,,,,False,1.0,-0.9427472352981567,charlie|plays|football|badly,
Word,word_group,train,charlie plays football well,(play_game charlie chess)|(play_game charlie hide_n_seek)|(play_manner charlie badly),-0.8838165005048116,-0.8148043751716614|-0.9417807459831238|-0.8948643803596497,Manner,,(play_game charlie soccer)|(play_manner charlie well)|(and (play_game charlie soccer) (play_manner charlie well)),0.7170748114585876,0.9279339909553528|0.7327138781547546|0.7170748114585876,,,,1,3,3,,,,False,1.0,-0.8903494675954183,charlie|plays|football|well,
Word,word_group,train,football is played badly by charlie,(play_game charlie chess)|(play_game charlie hide_n_seek)|(play_manner charlie well),-0.9331604639689127,-0.9917182326316833|-0.9862537980079651|-0.8215093612670898,Manner,,(play_game charlie soccer)|(play_manner charlie badly)|(and (play_game charlie soccer) (play_manner charlie badly)),0.8182252049446106,0.9771745204925537|0.7559868097305298|0.8182252049446106,,,,1,3,3,,,,False,1.0,-0.9427472352981567,football|is|played|badly|by|charlie,
Word,word_group,train,football is played by charlie,(play_game charlie chess)|(play_game charlie hide_n_seek),-0.9897665083408356,-0.9846603870391846|-0.9948726296424866,Canonical,,(play_game charlie soccer),0.9688948392868042,0.9688948392868042,,,,0,2,1,,,,True,1.0,-1.0,football|is|played|by|charlie,
Word,word_group,train,football is played well by charlie,(play_game charlie chess)|(play_game charlie hide_n_seek)|(play_manner charlie badly),-0.8931761384010315,-0.8267759680747986|-0.9366843104362488|-0.9160681366920471,Manner,,(play_game charlie soccer)|(play_manner charlie well)|(and (play_game charlie soccer) (play_manner charlie well)),0.7220718860626221,0.9226464629173279|0.7398478984832764|0.7220718860626221,,,,1,3,3,,,,False,1.0,-0.8903494675954183,football|is|played|well|by|charlie,
Word,word_group,train,soccer is played badly by boy,(play_game charlie chess)|(play_game charlie hide_n_seek)|(play_manner charlie well),-0.9335109988848368,-0.9917480945587158|-0.9862769842147827|-0.822507917881012,Manner,,(play_game charlie soccer)|(play_manner charlie badly)|(and (play_game charlie soccer) (play_manner charlie badly)),0.8191820979118347,0.9775742292404175|0.7573339939117432|0.8191820979118347,,,,1,3,3,,,,False,1.0,-0.9427472352981567,soccer|is|played|badly|by|boy,
