group_name,output_key,split,sentence,competing_formulas,competing_score,competing_scores,complexity_level,composition_preference,described_formulas,described_score,described_scores,location_score,lose_score,modifier_count,num_competing_events,num_described_events,play_score,play_toy_score,route_preference,systematicity_pattern_original,theoretical_max,theoretical_min,tokens,win_score
Word,word_group,train,boy plays soccer,(play_game charlie chess)|(play_game charlie hide_n_seek),-0.9930113255977631,-0.990592360496521|-0.9954302906990051,Canonical,,(play_game charlie soccer),0.959246039390564,0.959246039390564,,,0,2,1,,,,True,1.0,-1.0,boy|plays|soccer,
Word,word_group,train,charlie plays football,(play_game charlie chess)|(play_game charlie hide_n_seek),-0.9933414161205292,-0.9910600781440735|-0.9956227540969849,Canonical,,(play_game charlie soccer),0.9566354751586914,0.9566354751586914,,,0,2,1,,,,True,1.0,-1.0,charlie|plays|football,
Word,word_group,train,football is played by charlie,(play_game charlie chess)|(play_game charlie hide_n_seek),-0.9919086694717407,-0.9887667894363403|-0.9950505495071411,Canonical,,(play_game charlie soccer),0.9657694697380066,0.9657694697380066,,,0,2,1,,,,True,1.0,-1.0,football|is|played|by|charlie,
Word,word_group,train,soccer is played by boy,(play_game charlie chess)|(play_game charlie hide_n_seek),-0.9921899139881134,-0.9893409013748169|-0.9950389266014099,Canonical,,(play_game charlie soccer),0.9663973450660706,0.9663973450660706,,,0,2,1,,,,True,1.0,-1.0,soccer|is|played|by|boy,
Word,word_group,test,boy plays football,(play_game charlie chess)|(play_game charlie hide_n_seek),-0.9925099909305573,-0.9898962378501892|-0.9951237440109253,Canonical,,(play_game charlie soccer),0.9580782055854797,0.9580782055854797,,,0,2,1,,,,True,1.0,-1.0,boy|plays|football,
Word,word_group,test,charlie plays soccer,(play_game charlie chess)|(play_game charlie hide_n_seek),-0.9937717616558075,-0.9916465878486633|-0.9958969354629517,Canonical,,(play_game charlie soccer),0.9579346179962158,0.9579346179962158,,,0,2,1,,,,True,1.0,-1.0,charlie|plays|soccer,
Word,word_group,test,football is played by boy,(play_game charlie chess)|(play_game charlie hide_n_seek),-0.9920803904533386,-0.989163339138031|-0.9949974417686462,Canonical,,(play_game charlie soccer),0.9673329591751099,0.9673329591751099,,,0,2,1,,,,True,1.0,-1.0,football|is|played|by|boy,
Word,word_group,test,soccer is played by charlie,(play_game charlie chess)|(play_game charlie hide_n_seek),-0.9920588731765747,-0.9890115261077881|-0.9951062202453613,Canonical,,(play_game charlie soccer),0.9648643732070923,0.9648643732070923,,,0,2,1,,,,True,1.0,-1.0,soccer|is|played|by|charlie,
Sentence,sentence_group,train,boy beats sophia,(win heidi)|(win sophia)|(lose charlie),-0.9621955355008444,-0.9898654222488403|-0.9464168548583984|-0.9503043293952942,Canonical,-0.014283984899520874,(win charlie)|(lose sophia)|(and (win charlie) (lose sophia)),0.8398147821426392,0.9213883280754089|0.7868092060089111|0.8398147821426392,,0.7868092060089111,0,3,3,,,,True,1.0,-0.9568905035654703,boy|beats|sophia,0.9213883280754089
Sentence,sentence_group,train,boy loses to sophia,(lose sophia)|(win charlie)|(win heidi),-0.9593130151430765,-0.9788674116134644|-0.9112333655357361|-0.9878382682800293,Canonical,-0.016883760690689087,(win sophia)|(lose charlie)|(and (lose charlie) (win sophia)),0.8895748853683472,0.9486413598060608|0.8642759323120117|0.8895748853683472,,0.8642759323120117,0,3,3,,,,True,1.0,-0.9643286069234213,boy|loses|to|sophia,0.9486413598060608
Sentence,sentence_group,train,charlie beats sophia,(win heidi)|(win sophia)|(lose charlie),-0.9626111388206482,-0.9894455671310425|-0.9474583864212036|-0.9509294629096985,Canonical,-0.014409273862838745,(win charlie)|(lose sophia)|(and (win charlie) (lose sophia)),0.840695858001709,0.9216829538345337|0.7885273098945618|0.840695858001709,,0.7885273098945618,0,3,3,,,,True,1.0,-0.9568905035654703,charlie|beats|sophia,0.9216829538345337
Sentence,sentence_group,train,charlie loses to sophia,(lose sophia)|(win charlie)|(win heidi),-0.9591131607691447,-0.978632926940918|-0.9111039638519287|-0.9876025915145874,Canonical,-0.01733797788619995,(win sophia)|(lose charlie)|(and (lose charlie) (win sophia)),0.8875471353530884,0.9480819702148438|0.8616882562637329|0.8875471353530884,,0.8616882562637329,0,3,3,,,,True,1.0,-0.9643286069234213,charlie|loses|to|sophia,0.9480819702148438
Sentence,sentence_group,train,heidi beats boy,(win charlie)|(win sophia)|(lose heidi),-0.9807096123695374,-0.9636089205741882|-0.9898865818977356|-0.9886333346366882,Canonical,-0.028929084539413452,(win heidi)|(lose charlie)|(and (win heidi) (lose charlie)),0.9102970361709595,0.9616477489471436|0.9168044924736023|0.9102970361709595,,0.9168044924736023,0,3,3,,,,True,1.0,-0.9862007300059,heidi|beats|boy,0.9616477489471436
Sentence,sentence_group,train,heidi beats charlie,(win charlie)|(win sophia)|(lose heidi),-0.9809543291727701,-0.9641640186309814|-0.9899659752845764|-0.9887329936027527,Canonical,-0.029313266277313232,(win heidi)|(lose charlie)|(and (win heidi) (lose charlie)),0.909466028213501,0.9617862701416016|0.9157723188400269|0.909466028213501,,0.9157723188400269,0,3,3,,,,True,1.0,-0.9862007300059,heidi|beats|charlie,0.9617862701416016
Sentence,sentence_group,train,heidi loses to boy,(lose charlie)|(win heidi)|(win sophia),-0.9687696496645609,-0.9610900282859802|-0.9713038802146912|-0.9739150404930115,Canonical,-0.05219194293022156,(win charlie)|(lose heidi)|(and (lose heidi) (win charlie)),0.7495439052581787,0.919776201248169|0.6836954951286316|0.7495439052581787,,0.6836954951286316,0,3,3,,,,True,1.0,-0.9786379535992941,heidi|loses|to|boy,0.919776201248169
Sentence,sentence_group,train,heidi loses to charlie,(lose charlie)|(win heidi)|(win sophia),-0.9701897104581197,-0.9636546969413757|-0.973362386226654|-0.9735520482063293,Canonical,-0.053259044885635376,(win charlie)|(lose heidi)|(and (lose heidi) (win charlie)),0.7475318312644958,0.9197306036949158|0.6818511486053467|0.7475318312644958,,0.6818511486053467,0,3,3,,,,True,1.0,-0.9786379535992941,heidi|loses|to|charlie,0.9197306036949158
Sentence,sentence_group,train,sophia beats heidi,(win charlie)|(win heidi)|(lose sophia),-0.9878553152084351,-0.9788537621498108|-0.9935579299926758|-0.9911542534828186,Canonical,-0.03306478261947632,(win sophia)|(lose heidi)|(and (win sophia) (lose heidi)),0.9103636145591736,0.9529436826705933|0.9339131116867065|0.9103636145591736,,0.9339131116867065,0,3,3,,,,True,1.0,-0.9908405145009359,sophia|beats|heidi,0.9529436826705933
Sentence,sentence_group,train,sophia loses to heidi,(lose heidi)|(win charlie)|(win sophia),-0.9811699589093527,-0.9851713180541992|-0.9699642658233643|-0.9883742928504944,Canonical,-0.040993958711624146,(win heidi)|(lose sophia)|(and (lose sophia) (win heidi)),0.8767174482345581,0.9437031149864197|0.8917196989059448|0.8767174482345581,,0.8917196989059448,0,3,3,,,,True,1.0,-0.9834784269332886,sophia|loses|to|heidi,0.9437031149864197
