group_name,output_key,split,sentence,competing_formulas,competing_score,competing_scores,complexity_level,composition_preference,described_formulas,described_score,described_scores,location_score,lose_score,modifier_count,num_competing_events,num_described_events,play_score,play_toy_score,route_preference,systematicity_pattern_original,theoretical_max,theoretical_min,tokens,win_score
Word,word_group,train,boy plays soccer,(play_game charlie chess)|(play_game charlie hide_n_seek),-0.9902516901493073,-0.9828148484230042|-0.9976885318756104,Canonical,,(play_game charlie soccer),0.9661902785301208,0.9661902785301208,,,0,2,1,,,,True,1.0,-1.0,boy|plays|soccer,
Word,word_group,train,charlie plays football,(play_game charlie chess)|(play_game charlie hide_n_seek),-0.9899182021617889,-0.9822271466255188|-0.9976092576980591,Canonical,,(play_game charlie soccer),0.9661861062049866,0.9661861062049866,,,0,2,1,,,,True,1.0,-1.0,charlie|plays|football,
Word,word_group,train,football is played by charlie,(play_game charlie chess)|(play_game charlie hide_n_seek),-0.9902433454990387,-0.9827456474304199|-0.9977410435676575,Canonical,,(play_game charlie soccer),0.9638940691947937,0.9638940691947937,,,0,2,1,,,,True,1.0,-1.0,football|is|played|by|charlie,
Word,word_group,train,soccer is played by boy,(play_game charlie chess)|(play_game charlie hide_n_seek),-0.9903746545314789,-0.9829657077789307|-0.9977836012840271,Canonical,,(play_game charlie soccer),0.9642332792282104,0.9642332792282104,,,0,2,1,,,,True,1.0,-1.0,soccer|is|played|by|boy,
Word,word_group,test,boy plays football,(play_game charlie chess)|(play_game charlie hide_n_seek),-0.9898982644081116,-0.9821718335151672|-0.9976246953010559,Canonical,,(play_game charlie soccer),0.9661580920219421,0.9661580920219421,,,0,2,1,,,,True,1.0,-1.0,boy|plays|football,
Word,word_group,test,charlie plays soccer,(play_game charlie chess)|(play_game charlie hide_n_seek),-0.9902775287628174,-0.9828796982765198|-0.997675359249115,Canonical,,(play_game charlie soccer),0.9662301540374756,0.9662301540374756,,,0,2,1,,,,True,1.0,-1.0,charlie|plays|soccer,
Word,word_group,test,football is played by boy,(play_game charlie chess)|(play_game charlie hide_n_seek),-0.990192174911499,-0.982631504535675|-0.997752845287323,Canonical,,(play_game charlie soccer),0.9639244675636292,0.9639244675636292,,,0,2,1,,,,True,1.0,-1.0,football|is|played|by|boy,
Word,word_group,test,soccer is played by charlie,(play_game charlie chess)|(play_game charlie hide_n_seek),-0.9904271066188812,-0.9830818772315979|-0.9977723360061646,Canonical,,(play_game charlie soccer),0.964209794998169,0.964209794998169,,,0,2,1,,,,True,1.0,-1.0,soccer|is|played|by|charlie,
Sentence,sentence_group,train,boy beats sophia,(win heidi)|(win sophia)|(lose charlie),-0.9493629336357117,-0.9678758978843689|-0.9466150403022766|-0.9335978627204895,Canonical,-0.018986791372299194,(win charlie)|(lose sophia)|(and (win charlie) (lose sophia)),0.8290192484855652,0.9113977551460266|0.7846143245697021|0.8290192484855652,,0.7846143245697021,0,3,3,,,,True,1.0,-0.9568905035654703,boy|beats|sophia,0.9113977551460266
Sentence,sentence_group,train,boy loses to sophia,(lose sophia)|(win charlie)|(win heidi),-0.9470629890759786,-0.9693076610565186|-0.8905745148658752|-0.981306791305542,Canonical,-0.017731189727783203,(win sophia)|(lose charlie)|(and (lose charlie) (win sophia)),0.8694409728050232,0.9328670501708984|0.8414772748947144|0.8694409728050232,,0.8414772748947144,0,3,3,,,,True,1.0,-0.9643286069234213,boy|loses|to|sophia,0.9328670501708984
Sentence,sentence_group,train,charlie beats sophia,(win heidi)|(win sophia)|(lose charlie),-0.9496957858403524,-0.9682224988937378|-0.946832537651062|-0.9340323209762573,Canonical,-0.018915683031082153,(win charlie)|(lose sophia)|(and (win charlie) (lose sophia)),0.8292484879493713,0.9117059707641602|0.7846223711967468|0.8292484879493713,,0.7846223711967468,0,3,3,,,,True,1.0,-0.9568905035654703,charlie|beats|sophia,0.9117059707641602
Sentence,sentence_group,train,charlie loses to sophia,(lose sophia)|(win charlie)|(win heidi),-0.94721519947052,-0.9692292809486389|-0.8913457989692688|-0.9810705184936523,Canonical,-0.017604410648345947,(win sophia)|(lose charlie)|(and (lose charlie) (win sophia)),0.8701680898666382,0.9328834414482117|0.8426615595817566|0.8701680898666382,,0.8426615595817566,0,3,3,,,,True,1.0,-0.9643286069234213,charlie|loses|to|sophia,0.9328834414482117
Sentence,sentence_group,train,heidi beats boy,(win charlie)|(win sophia)|(lose heidi),-0.9801135460535685,-0.9645445346832275|-0.9877885580062866|-0.9880075454711914,Canonical,-0.030658960342407227,(win heidi)|(lose charlie)|(and (win heidi) (lose charlie)),0.905672013759613,0.9596763849258423|0.9129855632781982|0.905672013759613,,0.9129855632781982,0,3,3,,,,True,1.0,-0.9862007300059,heidi|beats|boy,0.9596763849258423
Sentence,sentence_group,train,heidi beats charlie,(win charlie)|(win sophia)|(lose heidi),-0.9800933798154196,-0.9645129442214966|-0.9877676963806152|-0.9879994988441467,Canonical,-0.030711770057678223,(win heidi)|(lose charlie)|(and (win heidi) (lose charlie)),0.9054828882217407,0.9595721960067749|0.912817120552063|0.9054828882217407,,0.912817120552063,0,3,3,,,,True,1.0,-0.9862007300059,heidi|beats|charlie,0.9595721960067749
Sentence,sentence_group,train,heidi loses to boy,(lose charlie)|(win heidi)|(win sophia),-0.932949960231781,-0.9231606125831604|-0.9515319466590881|-0.9241573214530945,Canonical,-0.059820324182510376,(win charlie)|(lose heidi)|(and (lose heidi) (win charlie)),0.7012142539024353,0.8885169625282288|0.6335521936416626|0.7012142539024353,,0.6335521936416626,0,3,3,,,,True,1.0,-0.9786379535992941,heidi|loses|to|boy,0.8885169625282288
Sentence,sentence_group,train,heidi loses to charlie,(lose charlie)|(win heidi)|(win sophia),-0.9314631621042887,-0.9209471344947815|-0.9507851600646973|-0.9226571917533875,Canonical,-0.059515804052352905,(win charlie)|(lose heidi)|(and (lose heidi) (win charlie)),0.7017336487770081,0.8876034021377563|0.6348955035209656|0.7017336487770081,,0.6348955035209656,0,3,3,,,,True,1.0,-0.9786379535992941,heidi|loses|to|charlie,0.8876034021377563
Sentence,sentence_group,train,sophia beats heidi,(win charlie)|(win heidi)|(lose sophia),-0.9902466336886088,-0.9882341623306274|-0.9916236400604248|-0.9908820986747742,Canonical,-0.03344854712486267,(win sophia)|(lose heidi)|(and (win sophia) (lose heidi)),0.9073154330253601,0.9489275813102722|0.9326003789901733|0.9073154330253601,,0.9326003789901733,0,3,3,,,,True,1.0,-0.9908405145009359,sophia|beats|heidi,0.9489275813102722
Sentence,sentence_group,train,sophia loses to heidi,(lose heidi)|(win charlie)|(win sophia),-0.9805919528007507,-0.9857706427574158|-0.9669638872146606|-0.9890413284301758,Canonical,-0.03799748420715332,(win heidi)|(lose sophia)|(and (lose sophia) (win heidi)),0.8850386142730713,0.9448970556259155|0.9011751413345337|0.8850386142730713,,0.9011751413345337,0,3,3,,,,True,1.0,-0.9834784269332886,sophia|loses|to|heidi,0.9448970556259155
Sentence,sentence_group,test,boy beats heidi,(win heidi)|(win sophia)|(lose charlie),-0.9385206898053488,-0.9522779583930969|-0.9356412887573242|-0.927642822265625,Canonical,-0.06427153944969177,(win charlie)|(lose heidi)|(and (win charlie) (lose heidi)),0.6847654581069946,0.8961165547370911|0.6019574403762817|0.6847654581069946,,0.6019574403762817,0,3,3,,,-0.06427153944969177,True,1.0,-0.9786379535992941,boy|beats|heidi,0.8961165547370911
Sentence,sentence_group,test,boy loses to heidi,(lose heidi)|(win charlie)|(win sophia),-0.9775850375493368,-0.9863758683204651|-0.963900089263916|-0.9824791550636292,Canonical,-0.03851878643035889,(win heidi)|(lose charlie)|(and (lose charlie) (win heidi)),0.8851436376571655,0.9559459686279297|0.8913788795471191|0.8851436376571655,,0.8913788795471191,0,3,3,,,-0.03851878643035889,True,1.0,-0.9862007300059,boy|loses|to|heidi,0.9559459686279297
Sentence,sentence_group,test,charlie beats heidi,(win heidi)|(win sophia)|(lose charlie),-0.9378140767415365,-0.9518612027168274|-0.9351458549499512|-0.9264351725578308,Canonical,-0.06378144025802612,(win charlie)|(lose heidi)|(and (win charlie) (lose heidi)),0.6860721707344055,0.8956478834152222|0.6040593385696411|0.6860721707344055,,0.6040593385696411,0,3,3,,,-0.06378144025802612,True,1.0,-0.9786379535992941,charlie|beats|heidi,0.8956478834152222
Sentence,sentence_group,test,charlie loses to heidi,(lose heidi)|(win charlie)|(win sophia),-0.9776620467503866,-0.986446738243103|-0.9639242887496948|-0.9826151132583618,Canonical,-0.038177549839019775,(win heidi)|(lose charlie)|(and (lose charlie) (win heidi)),0.885993242263794,0.9559974074363708|0.8923441767692566|0.885993242263794,,0.8923441767692566,0,3,3,,,-0.038177549839019775,True,1.0,-0.9862007300059,charlie|loses|to|heidi,0.9559974074363708
Sentence,sentence_group,test,heidi beats sophia,(win charlie)|(win sophia)|(lose heidi),-0.9830438494682312,-0.9720536470413208|-0.9899910688400269|-0.987086832523346,Canonical,-0.03654959797859192,(win heidi)|(lose sophia)|(and (win heidi) (lose sophia)),0.8909437656402588,0.9495688676834106|0.9054178595542908|0.8909437656402588,,0.9054178595542908,0,3,3,,,-0.03654959797859192,True,1.0,-0.9834784269332886,heidi|beats|sophia,0.9495688676834106
Sentence,sentence_group,test,heidi loses to sophia,(lose sophia)|(win charlie)|(win heidi),-0.9845856626828512,-0.990229606628418|-0.9706835150718689|-0.9928438663482666,Canonical,-0.03554233908653259,(win sophia)|(lose heidi)|(and (lose heidi) (win sophia)),0.9032459259033203,0.9482818245887756|0.9292947053909302|0.9032459259033203,,0.9292947053909302,0,3,3,,,-0.03554233908653259,True,1.0,-0.9908405145009359,heidi|loses|to|sophia,0.9482818245887756
Sentence,sentence_group,test,sophia beats boy,(win charlie)|(win heidi)|(lose sophia),-0.9537135561307272,-0.9028149247169495|-0.9847590327262878|-0.9735667109489441,Canonical,-0.01833587884902954,(win sophia)|(lose charlie)|(and (win sophia) (lose charlie)),0.8681687116622925,0.9362610578536987|0.8367481231689453|0.8681687116622925,,0.8367481231689453,0,3,3,,,-0.01833587884902954,True,1.0,-0.9643286069234213,sophia|beats|boy,0.9362610578536987
