group_name,output_key,split,sentence,competing_formulas,competing_score,competing_scores,complexity_level,composition_preference,described_formulas,described_score,described_scores,location_score,lose_score,modifier_count,num_competing_events,num_described_events,play_score,play_toy_score,route_preference,systematicity_pattern_original,theoretical_max,theoretical_min,tokens,win_score
Word,word_group,train,boy plays soccer,(play_game charlie chess)|(play_game charlie hide_n_seek),-0.9955796003341675,-0.9943494200706482|-0.9968097805976868,Canonical,,(play_game charlie soccer),0.9464969038963318,0.9464969038963318,,,0,2,1,,,,True,1.0,-1.0,boy|plays|soccer,
Word,word_group,train,charlie plays football,(play_game charlie chess)|(play_game charlie hide_n_seek),-0.9953460097312927,-0.9935011267662048|-0.9971908926963806,Canonical,,(play_game charlie soccer),0.9553018808364868,0.9553018808364868,,,0,2,1,,,,True,1.0,-1.0,charlie|plays|football,
Word,word_group,train,football is played by charlie,(play_game charlie chess)|(play_game charlie hide_n_seek),-0.9972780048847198,-0.9969248175621033|-0.9976311922073364,Canonical,,(play_game charlie soccer),0.9548224210739136,0.9548224210739136,,,0,2,1,,,,True,1.0,-1.0,football|is|played|by|charlie,
Word,word_group,train,soccer is played by boy,(play_game charlie chess)|(play_game charlie hide_n_seek),-0.997749000787735,-0.9976593255996704|-0.9978386759757996,Canonical,,(play_game charlie soccer),0.9552084803581238,0.9552084803581238,,,0,2,1,,,,True,1.0,-1.0,soccer|is|played|by|boy,
Word,word_group,test,boy plays football,(play_game charlie chess)|(play_game charlie hide_n_seek),-0.9945196807384491,-0.9922918677330017|-0.9967474937438965,Canonical,,(play_game charlie soccer),0.9485595226287842,0.9485595226287842,,,0,2,1,,,,True,1.0,-1.0,boy|plays|football,
Word,word_group,test,charlie plays soccer,(play_game charlie chess)|(play_game charlie hide_n_seek),-0.9966214001178741,-0.9955256581306458|-0.9977171421051025,Canonical,,(play_game charlie soccer),0.9591830968856812,0.9591830968856812,,,0,2,1,,,,True,1.0,-1.0,charlie|plays|soccer,
Word,word_group,test,football is played by boy,(play_game charlie chess)|(play_game charlie hide_n_seek),-0.997289776802063,-0.9969455599784851|-0.9976339936256409,Canonical,,(play_game charlie soccer),0.9530823826789856,0.9530823826789856,,,0,2,1,,,,True,1.0,-1.0,football|is|played|by|boy,
Word,word_group,test,soccer is played by charlie,(play_game charlie chess)|(play_game charlie hide_n_seek),-0.9971277415752411,-0.9976552724838257|-0.9966002106666565,Canonical,,(play_game charlie soccer),0.9561991095542908,0.9561991095542908,,,0,2,1,,,,True,1.0,-1.0,soccer|is|played|by|charlie,
Sentence,sentence_group,train,boy beats sophia,(win heidi)|(win sophia)|(lose charlie),-0.8842955231666565,-0.9141301512718201|-0.894433319568634|-0.8443230986595154,Canonical,-0.021270543336868286,(win charlie)|(lose sophia)|(and (win charlie) (lose sophia)),0.8007568120956421,0.8724955916404724|0.7715591192245483|0.8007568120956421,,0.7715591192245483,0,3,3,,,,True,1.0,-0.9568905035654703,boy|beats|sophia,0.8724955916404724
Sentence,sentence_group,train,boy loses to sophia,(lose sophia)|(win charlie)|(win heidi),-0.889853278795878,-0.9534953236579895|-0.719760537147522|-0.9963039755821228,Canonical,-0.007730931043624878,(win sophia)|(lose charlie)|(and (lose charlie) (win sophia)),0.8783610463142395,0.9312620162963867|0.840921938419342|0.8783610463142395,,0.840921938419342,0,3,3,,,,True,1.0,-0.9643286069234213,boy|loses|to|sophia,0.9312620162963867
Sentence,sentence_group,train,charlie beats sophia,(win heidi)|(win sophia)|(lose charlie),-0.9606449405352274,-0.9900970458984375|-0.9444931745529175|-0.9473446011543274,Canonical,-0.016546189785003662,(win charlie)|(lose sophia)|(and (win charlie) (lose sophia)),0.8306042551994324,0.9194080233573914|0.7748928666114807|0.8306042551994324,,0.7748928666114807,0,3,3,,,,True,1.0,-0.9568905035654703,charlie|beats|sophia,0.9194080233573914
