group_name,output_key,split,sentence,competing_formulas,competing_score,competing_scores,complexity_level,composition_preference,described_formulas,described_score,described_scores,location_score,lose_score,modifier_count,num_competing_events,num_described_events,play_score,play_toy_score,route_preference,systematicity_pattern_original,theoretical_max,theoretical_min,tokens,win_score
Word,word_group,train,boy plays soccer,(play_game charlie chess)|(play_game charlie hide_n_seek),-0.9630721807479858,-0.9317704439163208|-0.9943739175796509,Canonical,,(play_game charlie soccer),0.9490494728088379,0.9490494728088379,,,0,2,1,,,,True,1.0,-1.0,boy|plays|soccer,
Word,word_group,train,charlie plays football,(play_game charlie chess)|(play_game charlie hide_n_seek),-0.9636040329933167,-0.9326897263526917|-0.9945183396339417,Canonical,,(play_game charlie soccer),0.9490160942077637,0.9490160942077637,,,0,2,1,,,,True,1.0,-1.0,charlie|plays|football,
Word,word_group,train,football is played by charlie,(play_game charlie chess)|(play_game charlie hide_n_seek),-0.9957909286022186,-0.9930695295333862|-0.998512327671051,Canonical,,(play_game charlie soccer),0.949923038482666,0.949923038482666,,,0,2,1,,,,True,1.0,-1.0,football|is|played|by|charlie,
Word,word_group,train,soccer is played by boy,(play_game charlie chess)|(play_game charlie hide_n_seek),-0.9958903193473816,-0.9932429194450378|-0.9985377192497253,Canonical,,(play_game charlie soccer),0.9504658579826355,0.9504658579826355,,,0,2,1,,,,True,1.0,-1.0,soccer|is|played|by|boy,
Word,word_group,test,boy plays football,(play_game charlie chess)|(play_game charlie hide_n_seek),-0.963895857334137,-0.9332565069198608|-0.9945352077484131,Canonical,,(play_game charlie soccer),0.9489384293556213,0.9489384293556213,,,0,2,1,,,,True,1.0,-1.0,boy|plays|football,
Word,word_group,test,charlie plays soccer,(play_game charlie chess)|(play_game charlie hide_n_seek),-0.9627721011638641,-0.9311883449554443|-0.9943558573722839,Canonical,,(play_game charlie soccer),0.9491261839866638,0.9491261839866638,,,0,2,1,,,,True,1.0,-1.0,charlie|plays|soccer,
Word,word_group,test,football is played by boy,(play_game charlie chess)|(play_game charlie hide_n_seek),-0.9958491325378418,-0.9931774139404297|-0.9985208511352539,Canonical,,(play_game charlie soccer),0.9503242373466492,0.9503242373466492,,,0,2,1,,,,True,1.0,-1.0,football|is|played|by|boy,
Word,word_group,test,soccer is played by charlie,(play_game charlie chess)|(play_game charlie hide_n_seek),-0.9958328902721405,-0.9931365251541138|-0.9985292553901672,Canonical,,(play_game charlie soccer),0.9500678181648254,0.9500678181648254,,,0,2,1,,,,True,1.0,-1.0,soccer|is|played|by|charlie,
Sentence,sentence_group,train,boy beats sophia,(win heidi)|(win sophia)|(lose charlie),-0.9450881878534952,-0.961277961730957|-0.9488693475723267|-0.9251172542572021,Canonical,-0.02366510033607483,(win charlie)|(lose sophia)|(and (win charlie) (lose sophia)),0.8258523344993591,0.9164567589759827|0.7825781106948853|0.8258523344993591,,0.7825781106948853,0,3,3,,,,True,1.0,-0.9568905035654703,boy|beats|sophia,0.9164567589759827
Sentence,sentence_group,train,boy loses to sophia,(lose sophia)|(win charlie)|(win heidi),-0.9347045421600342,-0.9454700946807861|-0.9229755401611328|-0.9356679916381836,Canonical,-0.02595651149749756,(win sophia)|(lose charlie)|(and (lose charlie) (win sophia)),0.850187361240387,0.9072333574295044|0.8450543880462646|0.850187361240387,,0.8450543880462646,0,3,3,,,,True,1.0,-0.9643286069234213,boy|loses|to|sophia,0.9072333574295044
