group_name,output_key,split,sentence,competing_formulas,competing_score,competing_scores,complexity_level,composition_preference,described_formulas,described_score,described_scores,location_score,lose_score,modifier_count,num_competing_events,num_described_events,play_score,play_toy_score,route_preference,systematicity_pattern_original,theoretical_max,theoretical_min,tokens,win_score
Word,word_group,train,boy plays football,(play_game charlie chess)|(play_game charlie hide_n_seek),-0.991394430398941,-0.985573947429657|-0.9972149133682251,Canonical,,(play_game charlie soccer),0.9339660406112671,0.9339660406112671,,,0,2,1,,,,True,1.0,-1.0,boy|plays|football,
Word,word_group,train,charlie plays soccer,(play_game charlie chess)|(play_game charlie hide_n_seek),-0.9911366999149323,-0.9851392507553101|-0.9971341490745544,Canonical,,(play_game charlie soccer),0.9336898922920227,0.9336898922920227,,,0,2,1,,,,True,1.0,-1.0,charlie|plays|soccer,
Word,word_group,train,football is played by boy,(play_game charlie chess)|(play_game charlie hide_n_seek),-0.9933213293552399,-0.9882591962814331|-0.9983834624290466,Canonical,,(play_game charlie soccer),0.9634460806846619,0.9634460806846619,,,0,2,1,,,,True,1.0,-1.0,football|is|played|by|boy,
Word,word_group,train,soccer is played by charlie,(play_game charlie chess)|(play_game charlie hide_n_seek),-0.9931900799274445,-0.9879937767982483|-0.9983863830566406,Canonical,,(play_game charlie soccer),0.9640452265739441,0.9640452265739441,,,0,2,1,,,,True,1.0,-1.0,soccer|is|played|by|charlie,
Word,word_group,test,boy plays soccer,(play_game charlie chess)|(play_game charlie hide_n_seek),-0.9911788403987885,-0.9852122664451599|-0.997145414352417,Canonical,,(play_game charlie soccer),0.9332228899002075,0.9332228899002075,,,0,2,1,,,,True,1.0,-1.0,boy|plays|soccer,
Word,word_group,test,charlie plays football,(play_game charlie chess)|(play_game charlie hide_n_seek),-0.9913517832756042,-0.9854998588562012|-0.9972037076950073,Canonical,,(play_game charlie soccer),0.9344385266304016,0.9344385266304016,,,0,2,1,,,,True,1.0,-1.0,charlie|plays|football,
Word,word_group,test,football is played by charlie,(play_game charlie chess)|(play_game charlie hide_n_seek),-0.993169903755188,-0.9879469275474548|-0.9983928799629211,Canonical,,(play_game charlie soccer),0.9641174077987671,0.9641174077987671,,,0,2,1,,,,True,1.0,-1.0,football|is|played|by|charlie,
Word,word_group,test,soccer is played by boy,(play_game charlie chess)|(play_game charlie hide_n_seek),-0.9933417439460754,-0.98830646276474|-0.9983770251274109,Canonical,,(play_game charlie soccer),0.9633749127388,0.9633749127388,,,0,2,1,,,,True,1.0,-1.0,soccer|is|played|by|boy,
Sentence,sentence_group,train,boy beats heidi,(win heidi)|(win sophia)|(lose charlie),-0.9459166129430135,-0.9772343039512634|-0.9232487082481384|-0.9372668266296387,Canonical,-0.0637286901473999,(win charlie)|(lose heidi)|(and (win charlie) (lose heidi)),0.7303463816642761,0.9078977108001709|0.6802524328231812|0.7303463816642761,,0.6802524328231812,0,3,3,,,,True,1.0,-0.9786379535992941,boy|beats|heidi,0.9078977108001709
Sentence,sentence_group,train,boy loses to heidi,(lose heidi)|(win charlie)|(win sophia),-0.9759045243263245,-0.9814835786819458|-0.9676718711853027|-0.9785581231117249,Canonical,-0.0314425528049469,(win heidi)|(lose charlie)|(and (lose charlie) (win heidi)),0.9030604958534241,0.9553699493408203|0.9136361479759216|0.9030604958534241,,0.9136361479759216,0,3,3,,,,True,1.0,-0.9862007300059,boy|loses|to|heidi,0.9553699493408203
