group_name,output_key,split,sentence,competing_formulas,competing_score,competing_scores,complexity_level,composition_preference,described_formulas,described_score,described_scores,location_score,lose_score,modifier_count,num_competing_events,num_described_events,play_score,play_toy_score,route_preference,systematicity_pattern_original,theoretical_max,theoretical_min,tokens,win_score
Word,word_group,train,boy plays soccer,(play_game charlie chess)|(play_game charlie hide_n_seek),-0.9947926998138428,-0.9945805668830872|-0.9950048327445984,Canonical,,(play_game charlie soccer),0.9450234770774841,0.9450234770774841,,,0,2,1,,,,True,1.0,-1.0,boy|plays|soccer,
Word,word_group,train,charlie plays football,(play_game charlie chess)|(play_game charlie hide_n_seek),-0.9926958084106445,-0.992398738861084|-0.9929928779602051,Canonical,,(play_game charlie soccer),0.9479674100875854,0.9479674100875854,,,0,2,1,,,,True,1.0,-1.0,charlie|plays|football,
Word,word_group,train,football is played by charlie,(play_game charlie chess)|(play_game charlie hide_n_seek),-0.9807606935501099,-0.9766952991485596|-0.9848260879516602,Canonical,,(play_game charlie soccer),0.9596779346466064,0.9596779346466064,,,0,2,1,,,,True,1.0,-1.0,football|is|played|by|charlie,
Word,word_group,train,soccer is played by boy,(play_game charlie chess)|(play_game charlie hide_n_seek),-0.9837584495544434,-0.9809338450431824|-0.9865830540657043,Canonical,,(play_game charlie soccer),0.9580180644989014,0.9580180644989014,,,0,2,1,,,,True,1.0,-1.0,soccer|is|played|by|boy,
Word,word_group,test,boy plays football,(play_game charlie chess)|(play_game charlie hide_n_seek),-0.9933098554611206,-0.9928710460662842|-0.993748664855957,Canonical,,(play_game charlie soccer),0.9470110535621643,0.9470110535621643,,,0,2,1,,,,True,1.0,-1.0,boy|plays|football,
Word,word_group,test,charlie plays soccer,(play_game charlie chess)|(play_game charlie hide_n_seek),-0.994246244430542,-0.994176983833313|-0.994315505027771,Canonical,,(play_game charlie soccer),0.9461902379989624,0.9461902379989624,,,0,2,1,,,,True,1.0,-1.0,charlie|plays|soccer,
Word,word_group,test,football is played by boy,(play_game charlie chess)|(play_game charlie hide_n_seek),-0.9824496805667877,-0.9780624508857727|-0.9868369102478027,Canonical,,(play_game charlie soccer),0.9598332047462463,0.9598332047462463,,,0,2,1,,,,True,1.0,-1.0,football|is|played|by|boy,
Word,word_group,test,soccer is played by charlie,(play_game charlie chess)|(play_game charlie hide_n_seek),-0.9704692363739014,-0.9709124565124512|-0.9700260162353516,Canonical,,(play_game charlie soccer),0.9585655331611633,0.9585655331611633,,,0,2,1,,,,True,1.0,-1.0,soccer|is|played|by|charlie,
Sentence,sentence_group,train,boy beats sophia,(win heidi)|(win sophia)|(lose charlie),-0.9619758526484171,-0.9616847634315491|-0.9681134819984436|-0.9561293125152588,Canonical,-0.022612273693084717,(win charlie)|(lose sophia)|(and (win charlie) (lose sophia)),0.8487092852592468,0.9235355257987976|0.8191075921058655|0.8487092852592468,,0.8191075921058655,0,3,3,,,,True,1.0,-0.9568905035654703,boy|beats|sophia,0.9235355257987976
Sentence,sentence_group,train,boy loses to sophia,(lose sophia)|(win charlie)|(win heidi),-0.9638380805651346,-0.9736449718475342|-0.9396428465843201|-0.9782264232635498,Canonical,-0.011594533920288086,(win sophia)|(lose charlie)|(and (lose charlie) (win sophia)),0.9271124005317688,0.9488036632537842|0.9286102056503296|0.9271124005317688,,0.9286102056503296,0,3,3,,,,True,1.0,-0.9643286069234213,boy|loses|to|sophia,0.9488036632537842
Sentence,sentence_group,train,charlie beats sophia,(win heidi)|(win sophia)|(lose charlie),-0.9635218381881714,-0.9645997881889343|-0.9679644107818604|-0.9580013155937195,Canonical,-0.021551311016082764,(win charlie)|(lose sophia)|(and (win charlie) (lose sophia)),0.8527306914329529,0.9262585043907166|0.8223055005073547|0.8527306914329529,,0.8223055005073547,0,3,3,,,,True,1.0,-0.9568905035654703,charlie|beats|sophia,0.9262585043907166
Sentence,sentence_group,train,charlie loses to sophia,(lose sophia)|(win charlie)|(win heidi),-0.9592206478118896,-0.9694092273712158|-0.9341460466384888|-0.9741066694259644,Canonical,-0.012165188789367676,(win sophia)|(lose charlie)|(and (lose charlie) (win sophia)),0.9225505590438843,0.9438294768333435|0.9256020188331604|0.9225505590438843,,0.9256020188331604,0,3,3,,,,True,1.0,-0.9643286069234213,charlie|loses|to|sophia,0.9438294768333435
Sentence,sentence_group,train,heidi beats boy,(win charlie)|(win sophia)|(lose heidi),-0.9837843577067057,-0.974878191947937|-0.9873188734054565|-0.9891560077667236,Canonical,-0.024657636880874634,(win heidi)|(lose charlie)|(and (win heidi) (lose charlie)),0.9257612228393555,0.9651166200637817|0.9357210993766785|0.9257612228393555,,0.9357210993766785,0,3,3,,,,True,1.0,-0.9862007300059,heidi|beats|boy,0.9651166200637817
Sentence,sentence_group,train,heidi beats charlie,(win charlie)|(win sophia)|(lose heidi),-0.977552056312561,-0.9745914340019226|-0.9749178290367126|-0.9831469058990479,Canonical,-0.02579367160797119,(win heidi)|(lose charlie)|(and (win heidi) (lose charlie)),0.9213877320289612,0.9573845267295837|0.936978280544281|0.9213877320289612,,0.936978280544281,0,3,3,,,,True,1.0,-0.9862007300059,heidi|beats|charlie,0.9573845267295837
Sentence,sentence_group,train,heidi loses to boy,(lose charlie)|(win heidi)|(win sophia),-0.9831119179725647,-0.9797720313072205|-0.9875222444534302|-0.9820414781570435,Canonical,-0.0372043251991272,(win charlie)|(lose heidi)|(and (lose heidi) (win charlie)),0.855405867099762,0.9574862718582153|0.827734112739563|0.855405867099762,,0.827734112739563,0,3,3,,,,True,1.0,-0.9786379535992941,heidi|loses|to|boy,0.9574862718582153
Sentence,sentence_group,train,heidi loses to charlie,(lose charlie)|(win heidi)|(win sophia),-0.9845377206802368,-0.9823751449584961|-0.9900906085968018|-0.9811474084854126,Canonical,-0.03992319107055664,(win charlie)|(lose heidi)|(and (lose heidi) (win charlie)),0.8470327258110046,0.957700252532959|0.8162115812301636|0.8470327258110046,,0.8162115812301636,0,3,3,,,,True,1.0,-0.9786379535992941,heidi|loses|to|charlie,0.957700252532959
Sentence,sentence_group,train,sophia beats heidi,(win charlie)|(win heidi)|(lose sophia),-0.9840620358784994,-0.9660919308662415|-0.9943978190422058|-0.9916963577270508,Canonical,-0.028444290161132812,(win sophia)|(lose heidi)|(and (win sophia) (lose heidi)),0.9255031943321228,0.957991898059845|0.9499030709266663|0.9255031943321228,,0.9499030709266663,0,3,3,,,,True,1.0,-0.9908405145009359,sophia|beats|heidi,0.957991898059845
Sentence,sentence_group,train,sophia loses to heidi,(lose heidi)|(win charlie)|(win sophia),-0.9806644916534424,-0.9870620369911194|-0.9635675549507141|-0.9913638830184937,Canonical,-0.03302764892578125,(win heidi)|(lose sophia)|(and (lose sophia) (win heidi)),0.9018607139587402,0.9520742893218994|0.9177024364471436|0.9018607139587402,,0.9177024364471436,0,3,3,,,,True,1.0,-0.9834784269332886,sophia|loses|to|heidi,0.9520742893218994
Sentence,sentence_group,test,boy beats heidi,(win heidi)|(win sophia)|(lose charlie),-0.9336288173993429,-0.9796895384788513|-0.8886117935180664|-0.9325851202011108,Canonical,-0.04953041672706604,(win charlie)|(lose heidi)|(and (win charlie) (lose heidi)),0.8092651963233948,0.9131842851638794|0.8044069409370422|0.8092651963233948,,0.8044069409370422,0,3,3,,,-0.04953041672706604,True,1.0,-0.9786379535992941,boy|beats|heidi,0.9131842851638794
Sentence,sentence_group,test,boy loses to heidi,(lose heidi)|(win charlie)|(win sophia),-0.9876360694567362,-0.9920475482940674|-0.9778687953948975|-0.9929918646812439,Canonical,-0.022144824266433716,(win heidi)|(lose charlie)|(and (lose charlie) (win heidi)),0.9351997971534729,0.9730176329612732|0.94167160987854|0.9351997971534729,,0.94167160987854,0,3,3,,,-0.022144824266433716,True,1.0,-0.9862007300059,boy|loses|to|heidi,0.9730176329612732
Sentence,sentence_group,test,charlie beats heidi,(win heidi)|(win sophia)|(lose charlie),-0.9317954182624817,-0.9813988208770752|-0.8860827684402466|-0.9279046654701233,Canonical,-0.05258679389953613,(win charlie)|(lose heidi)|(and (win charlie) (lose heidi)),0.7982396483421326,0.9137115478515625|0.7879413366317749|0.7982396483421326,,0.7879413366317749,0,3,3,,,-0.05258679389953613,True,1.0,-0.9786379535992941,charlie|beats|heidi,0.9137115478515625
