group_name,output_key,split,sentence,competing_formulas,competing_score,competing_scores,complexity_level,composition_preference,described_formulas,described_score,described_scores,location_score,lose_score,modifier_count,num_competing_events,num_described_events,play_score,play_toy_score,route_preference,systematicity_pattern_original,theoretical_max,theoretical_min,tokens,win_score
Word,word_group,train,boy plays soccer,(play_game charlie chess)|(play_game charlie hide_n_seek),-0.9957755208015442,-0.9962761998176575|-0.9952748417854309,Canonical,,(play_game charlie soccer),0.9390406608581543,0.9390406608581543,,,0,2,1,,,,True,1.0,-1.0,boy|plays|soccer,
Word,word_group,train,charlie plays football,(play_game charlie chess)|(play_game charlie hide_n_seek),-0.9963099360466003,-0.9967651963233948|-0.9958546757698059,Canonical,,(play_game charlie soccer),0.9362441301345825,0.9362441301345825,,,0,2,1,,,,True,1.0,-1.0,charlie|plays|football,
Word,word_group,train,football is played by charlie,(play_game charlie chess)|(play_game charlie hide_n_seek),-0.9917527437210083,-0.9902773499488831|-0.9932281374931335,Canonical,,(play_game charlie soccer),0.9319961071014404,0.9319961071014404,,,0,2,1,,,,True,1.0,-1.0,football|is|played|by|charlie,
Word,word_group,train,soccer is played by boy,(play_game charlie chess)|(play_game charlie hide_n_seek),-0.9918247163295746,-0.9905211329460144|-0.9931282997131348,Canonical,,(play_game charlie soccer),0.937694251537323,0.937694251537323,,,0,2,1,,,,True,1.0,-1.0,soccer|is|played|by|boy,
Word,word_group,test,boy plays football,(play_game charlie chess)|(play_game charlie hide_n_seek),-0.9962891638278961,-0.9968225359916687|-0.9957557916641235,Canonical,,(play_game charlie soccer),0.9380047917366028,0.9380047917366028,,,0,2,1,,,,True,1.0,-1.0,boy|plays|football,
Word,word_group,test,charlie plays soccer,(play_game charlie chess)|(play_game charlie hide_n_seek),-0.9957936108112335,-0.9962058663368225|-0.9953813552856445,Canonical,,(play_game charlie soccer),0.9372677803039551,0.9372677803039551,,,0,2,1,,,,True,1.0,-1.0,charlie|plays|soccer,
Word,word_group,test,football is played by boy,(play_game charlie chess)|(play_game charlie hide_n_seek),-0.9924967885017395,-0.9914649724960327|-0.9935286045074463,Canonical,,(play_game charlie soccer),0.935658872127533,0.935658872127533,,,0,2,1,,,,True,1.0,-1.0,football|is|played|by|boy,
Word,word_group,test,soccer is played by charlie,(play_game charlie chess)|(play_game charlie hide_n_seek),-0.9918328523635864,-0.9903491139411926|-0.9933165907859802,Canonical,,(play_game charlie soccer),0.9365327954292297,0.9365327954292297,,,0,2,1,,,,True,1.0,-1.0,soccer|is|played|by|charlie,
Sentence,sentence_group,train,boy beats sophia,(win heidi)|(win sophia)|(lose charlie),-0.9578952391942342,-0.9835050106048584|-0.9465795159339905|-0.9436011910438538,Canonical,-0.01795506477355957,(win charlie)|(lose sophia)|(and (win charlie) (lose sophia)),0.830544650554657,0.9220966696739197|0.7749027609825134|0.830544650554657,,0.7749027609825134,0,3,3,,,,True,1.0,-0.9568905035654703,boy|beats|sophia,0.9220966696739197
Sentence,sentence_group,train,boy loses to sophia,(lose sophia)|(win charlie)|(win heidi),-0.9019643068313599,-0.9317269325256348|-0.8515857458114624|-0.9225802421569824,Canonical,-0.019773095846176147,(win sophia)|(lose charlie)|(and (lose charlie) (win sophia)),0.8578630685806274,0.8877722024917603|0.8675001263618469|0.8578630685806274,,0.8675001263618469,0,3,3,,,,True,1.0,-0.9643286069234213,boy|loses|to|sophia,0.8877722024917603
Sentence,sentence_group,train,charlie beats sophia,(win heidi)|(win sophia)|(lose charlie),-0.9634718298912048,-0.9830460548400879|-0.956898033618927|-0.9504714012145996,Canonical,-0.01821136474609375,(win charlie)|(lose sophia)|(and (win charlie) (lose sophia)),0.8560459017753601,0.9347785115242004|0.8137360215187073|0.8560459017753601,,0.8137360215187073,0,3,3,,,,True,1.0,-0.9568905035654703,charlie|beats|sophia,0.9347785115242004
Sentence,sentence_group,train,charlie loses to sophia,(lose sophia)|(win charlie)|(win heidi),-0.8974160552024841,-0.9268749356269836|-0.8461899757385254|-0.9191832542419434,Canonical,-0.019223779439926147,(win sophia)|(lose charlie)|(and (lose charlie) (win sophia)),0.8571850657463074,0.8849459290504456|0.8678717613220215|0.8571850657463074,,0.8678717613220215,0,3,3,,,,True,1.0,-0.9643286069234213,charlie|loses|to|sophia,0.8849459290504456
Sentence,sentence_group,train,heidi beats boy,(win charlie)|(win sophia)|(lose heidi),-0.9859057664871216,-0.9716424942016602|-0.9944606423377991|-0.9916141629219055,Canonical,-0.03126087784767151,(win heidi)|(lose charlie)|(and (win heidi) (lose charlie)),0.9078048467636108,0.9672761559486389|0.9108552932739258|0.9078048467636108,,0.9108552932739258,0,3,3,,,,True,1.0,-0.9862007300059,heidi|beats|boy,0.9672761559486389
Sentence,sentence_group,train,heidi beats charlie,(win charlie)|(win sophia)|(lose heidi),-0.9857721130053202,-0.9716427326202393|-0.9942435622215271|-0.9914300441741943,Canonical,-0.0322379469871521,(win heidi)|(lose charlie)|(and (win heidi) (lose charlie)),0.9047665596008301,0.9664586782455444|0.9075503349304199|0.9047665596008301,,0.9075503349304199,0,3,3,,,,True,1.0,-0.9862007300059,heidi|beats|charlie,0.9664586782455444
Sentence,sentence_group,train,heidi loses to boy,(lose charlie)|(win heidi)|(win sophia),-0.963311493396759,-0.9543775320053101|-0.9619753360748291|-0.9735816121101379,Canonical,-0.05241847038269043,(win charlie)|(lose heidi)|(and (lose heidi) (win charlie)),0.7417691946029663,0.9224894046783447|0.6658859252929688|0.7417691946029663,,0.6658859252929688,0,3,3,,,,True,1.0,-0.9786379535992941,heidi|loses|to|boy,0.9224894046783447
Sentence,sentence_group,train,heidi loses to charlie,(lose charlie)|(win heidi)|(win sophia),-0.958114484945933,-0.9473426342010498|-0.947932779788971|-0.9790680408477783,Canonical,-0.04653596878051758,(win charlie)|(lose heidi)|(and (lose heidi) (win charlie)),0.7538132667541504,0.9163805842399597|0.6843178868293762|0.7538132667541504,,0.6843178868293762,0,3,3,,,,True,1.0,-0.9786379535992941,heidi|loses|to|charlie,0.9163805842399597
Sentence,sentence_group,train,sophia beats heidi,(win charlie)|(win heidi)|(lose sophia),-0.9825781981150309,-0.9670517444610596|-0.9922682046890259|-0.9884146451950073,Canonical,-0.03426739573478699,(win sophia)|(lose heidi)|(and (win sophia) (lose heidi)),0.9051008224487305,0.9476107358932495|0.9311257004737854|0.9051008224487305,,0.9311257004737854,0,3,3,,,,True,1.0,-0.9908405145009359,sophia|beats|heidi,0.9476107358932495
Sentence,sentence_group,train,sophia loses to heidi,(lose heidi)|(win charlie)|(win sophia),-0.9802062710126241,-0.9843108654022217|-0.9683393836021423|-0.9879685640335083,Canonical,-0.04077252745628357,(win heidi)|(lose sophia)|(and (lose sophia) (win heidi)),0.8782700300216675,0.9441788792610168|0.8939062356948853|0.8782700300216675,,0.8939062356948853,0,3,3,,,,True,1.0,-0.9834784269332886,sophia|loses|to|heidi,0.9441788792610168
Sentence,sentence_group,test,boy beats heidi,(win heidi)|(win sophia)|(lose charlie),-0.9548351963361105,-0.9368476867675781|-0.9800952076911926|-0.9475626945495605,Canonical,-0.11935050785541534,(win charlie)|(lose heidi)|(and (win charlie) (lose heidi)),0.4710264801979065,0.913025975227356|0.2677280008792877|0.4710264801979065,,0.2677280008792877,0,3,3,,,-0.11935050785541534,True,1.0,-0.9786379535992941,boy|beats|heidi,0.913025975227356
Sentence,sentence_group,test,boy loses to heidi,(lose heidi)|(win charlie)|(win sophia),-0.8805135289827982,-0.9429635405540466|-0.7039268016815186|-0.9946502447128296,Canonical,-0.1632428914308548,(win heidi)|(lose charlie)|(and (lose charlie) (win heidi)),0.524718165397644,0.9261336326599121|0.44978848099708557|0.524718165397644,,0.44978848099708557,0,3,3,,,-0.1632428914308548,True,1.0,-0.9862007300059,boy|loses|to|heidi,0.9261336326599121
Sentence,sentence_group,test,charlie beats heidi,(win heidi)|(win sophia)|(lose charlie),-0.9586792786916097,-0.9429797530174255|-0.9818792343139648|-0.9511788487434387,Canonical,-0.11591701209545135,(win charlie)|(lose heidi)|(and (win charlie) (lose heidi)),0.4920177161693573,0.9189624190330505|0.2969070374965668|0.4920177161693573,,0.2969070374965668,0,3,3,,,-0.11591701209545135,True,1.0,-0.9786379535992941,charlie|beats|heidi,0.9189624190330505
Sentence,sentence_group,test,charlie loses to heidi,(lose heidi)|(win charlie)|(win sophia),-0.9379867315292358,-0.9671297669410706|-0.8521389961242676|-0.9946914315223694,Canonical,-0.11944243311882019,(win heidi)|(lose charlie)|(and (lose charlie) (win heidi)),0.6620005369186401,0.9472342133522034|0.6156517267227173|0.6620005369186401,,0.6156517267227173,0,3,3,,,-0.11944243311882019,True,1.0,-0.9862007300059,charlie|loses|to|heidi,0.9472342133522034
Sentence,sentence_group,test,heidi beats sophia,(win charlie)|(win sophia)|(lose heidi),-0.986654539903005,-0.9761030077934265|-0.9930851459503174|-0.990775465965271,Canonical,-0.03834033012390137,(win heidi)|(lose sophia)|(and (win heidi) (lose sophia)),0.8964612483978271,0.9760048389434814|0.8935983180999756|0.8964612483978271,,0.8935983180999756,0,3,3,,,-0.03834033012390137,True,1.0,-0.9834784269332886,heidi|beats|sophia,0.9760048389434814
Sentence,sentence_group,test,heidi loses to sophia,(lose sophia)|(win charlie)|(win heidi),-0.9878847599029541,-0.993161141872406|-0.9761662483215332|-0.9943268895149231,Canonical,-0.0719628632068634,(win sophia)|(lose heidi)|(and (lose heidi) (win sophia)),0.8270500898361206,0.9640263915061951|0.833999514579773|0.8270500898361206,,0.833999514579773,0,3,3,,,-0.0719628632068634,True,1.0,-0.9908405145009359,heidi|loses|to|sophia,0.9640263915061951
Sentence,sentence_group,test,sophia beats boy,(win charlie)|(win heidi)|(lose sophia),-0.506374957660834,0.05014633387327194|-0.8899425268173218|-0.6793286800384521,Canonical,0.03644520044326782,(win sophia)|(lose charlie)|(and (win sophia) (lose charlie)),0.7332219481468201,0.6971502304077148|0.6964032649993896|0.7332219481468201,,0.6964032649993896,0,3,3,,,0.03644520044326782,True,1.0,-0.9643286069234213,sophia|beats|boy,0.6971502304077148
Sentence,sentence_group,test,sophia beats charlie,(win charlie)|(win heidi)|(lose sophia),0.15923498074213663,0.3661760985851288|-0.2855619490146637|0.3970907926559448,Canonical,0.1881161332130432,(win sophia)|(lose charlie)|(and (win sophia) (lose charlie)),0.10712289065122604,-0.3791491389274597|0.21716265380382538|0.10712289065122604,,0.21716265380382538,0,3,3,,,0.1881161332130432,True,1.0,-0.9643286069234213,sophia|beats|charlie,-0.3791491389274597
Sentence,sentence_group,test,sophia loses to boy,(lose charlie)|(win heidi)|(win sophia),-0.9670236508051554,-0.9567686915397644|-0.9885560274124146|-0.9557462334632874,Canonical,-0.035281211137771606,(win charlie)|(lose sophia)|(and (lose sophia) (win charlie)),0.676498293876648,0.9263602495193481|0.49719876050949097|0.676498293876648,,0.49719876050949097,0,3,3,,,-0.035281211137771606,True,1.0,-0.9568905035654703,sophia|loses|to|boy,0.9263602495193481
Sentence,sentence_group,test,sophia loses to charlie,(lose charlie)|(win heidi)|(win sophia),-0.9710210561752319,-0.9616991281509399|-0.9875070452690125|-0.9638569951057434,Canonical,-0.037230223417282104,(win charlie)|(lose sophia)|(and (lose sophia) (win charlie)),0.6756514310836792,0.9323461055755615|0.4934172034263611|0.6756514310836792,,0.4934172034263611,0,3,3,,,-0.037230223417282104,True,1.0,-0.9568905035654703,sophia|loses|to|charlie,0.9323461055755615
Complex_Event,complex_event,train,boy plays chess in bedroom,(play_game charlie hide_n_seek)|(location charlie playground),-0.7130087018013,-0.9733162522315979|-0.4527011513710022,Canonical,0.005111604928970337,(play_game charlie chess)|(location charlie bedroom)|(and (play_game charlie chess) (location charlie bedroom)),0.7476528882980347,0.7999885082244873|0.6850940585136414|0.7476528882980347,0.6850940585136414,,1,2,3,0.7999885082244873,,,True,1.0,-0.8382396101951599,boy|plays|chess|in|bedroom,
Complex_Event,complex_event,train,boy plays chess inside,(play_game charlie hide_n_seek)|(location charlie playground),-0.7839832305908203,-0.9705926179885864|-0.5973738431930542,Canonical,0.025020360946655273,"(play_game charlie chess)|(or (location charlie bathroom) (location charlie bedroom))|(or (and (play_game charlie chess) (location charlie bathroom))
    (and (play_game charlie chess) (location charlie bedroom)))",0.8297139406204224,0.8844289779663086|0.7249581813812256|0.8297139406204224,0.7249581813812256,,1,2,3,0.8844289779663086,,,True,1.0,-0.8350906670093536,boy|plays|chess|inside,
Complex_Event,complex_event,train,boy plays hide-and-seek in playground,(play_game charlie chess)|(location charlie bathroom)|(location charlie bedroom),-0.7263378401597341,-0.9709689617156982|-0.4567684829235077|-0.7512760758399963,Canonical,-0.1082945168018341,(play_game charlie hide_n_seek)|(location charlie playground)|(and (play_game charlie hide_n_seek) (location charlie playground)),0.6311064958572388,0.7919819951057434|0.6868200302124023|0.6311064958572388,0.6868200302124023,,1,3,3,0.7919819951057434,,,True,1.0,-0.8122573892275492,boy|plays|hide-and-seek|in|playground,
