group_name,output_key,split,sentence,competing_formulas,competing_score,competing_scores,complexity_level,composition_preference,described_formulas,described_score,described_scores,location_score,lose_score,modifier_count,num_competing_events,num_described_events,play_score,play_toy_score,route_preference,systematicity_pattern_original,theoretical_max,theoretical_min,tokens,win_score
Word,word_group,train,boy plays soccer,(play_game charlie chess)|(play_game charlie hide_n_seek),-0.9905081689357758,-0.9902787208557129|-0.9907376170158386,Canonical,,(play_game charlie soccer),0.9276256561279297,0.9276256561279297,,,0,2,1,,,,True,1.0,-1.0,boy|plays|soccer,
Word,word_group,train,charlie plays football,(play_game charlie chess)|(play_game charlie hide_n_seek),-0.9901357591152191,-0.9895905256271362|-0.990680992603302,Canonical,,(play_game charlie soccer),0.9243565797805786,0.9243565797805786,,,0,2,1,,,,True,1.0,-1.0,charlie|plays|football,
Word,word_group,train,football is played by charlie,(play_game charlie chess)|(play_game charlie hide_n_seek),-0.9945344924926758,-0.9943398237228394|-0.9947291612625122,Canonical,,(play_game charlie soccer),0.9570372104644775,0.9570372104644775,,,0,2,1,,,,True,1.0,-1.0,football|is|played|by|charlie,
Word,word_group,train,soccer is played by boy,(play_game charlie chess)|(play_game charlie hide_n_seek),-0.9937075972557068,-0.9936561584472656|-0.993759036064148,Canonical,,(play_game charlie soccer),0.9563277959823608,0.9563277959823608,,,0,2,1,,,,True,1.0,-1.0,soccer|is|played|by|boy,
Word,word_group,test,boy plays football,(play_game charlie chess)|(play_game charlie hide_n_seek),-0.9902952611446381,-0.9897655844688416|-0.9908249378204346,Canonical,,(play_game charlie soccer),0.9254133701324463,0.9254133701324463,,,0,2,1,,,,True,1.0,-1.0,boy|plays|football,
Word,word_group,test,charlie plays soccer,(play_game charlie chess)|(play_game charlie hide_n_seek),-0.990347146987915,-0.9901007413864136|-0.9905935525894165,Canonical,,(play_game charlie soccer),0.9267956018447876,0.9267956018447876,,,0,2,1,,,,True,1.0,-1.0,charlie|plays|soccer,
Word,word_group,test,football is played by boy,(play_game charlie chess)|(play_game charlie hide_n_seek),-0.9948578774929047,-0.9946987628936768|-0.9950169920921326,Canonical,,(play_game charlie soccer),0.9591879844665527,0.9591879844665527,,,0,2,1,,,,True,1.0,-1.0,football|is|played|by|boy,
Word,word_group,test,soccer is played by charlie,(play_game charlie chess)|(play_game charlie hide_n_seek),-0.9933378994464874,-0.9932532906532288|-0.9934225082397461,Canonical,,(play_game charlie soccer),0.9541329145431519,0.9541329145431519,,,0,2,1,,,,True,1.0,-1.0,soccer|is|played|by|charlie,
Sentence,sentence_group,train,boy beats sophia,(win heidi)|(win sophia)|(lose charlie),-0.9595995545387268,-0.9742806553840637|-0.9558532238006592|-0.9486647844314575,Canonical,-0.01980230212211609,(win charlie)|(lose sophia)|(and (win charlie) (lose sophia)),0.8456443548202515,0.9257657527923584|0.8051275610923767|0.8456443548202515,,0.8051275610923767,0,3,3,,,,True,1.0,-0.9568905035654703,boy|beats|sophia,0.9257657527923584
Sentence,sentence_group,train,boy loses to sophia,(lose sophia)|(win charlie)|(win heidi),-0.9340130488077799,-0.9403935074806213|-0.9426554441452026|-0.9189901947975159,Canonical,-0.02922537922859192,(win sophia)|(lose charlie)|(and (lose charlie) (win sophia)),0.8515337109565735,0.9017447233200073|0.8597734570503235|0.8515337109565735,,0.8597734570503235,0,3,3,,,,True,1.0,-0.9643286069234213,boy|loses|to|sophia,0.9017447233200073
