"sentence","rec_mean","att_mean","gap","group","group_name","gap_rank"
"charlie plays soccer well",1.41431763333333,1.366873575,0.0474440583333333,"word_group","Word",1
"football is played badly by charlie",1.74156956666667,1.696127625,0.0454419416666667,"word_group","Word",2
"soccer is played badly by boy",1.7415326,1.698815175,0.042717425,"word_group","Word",3
"boy plays football well",1.4151836,1.379740725,0.035442875,"word_group","Word",4
"boy plays soccer badly",1.74057976666667,1.710706175,0.0298735916666666,"word_group","Word",5
"charlie plays football badly",1.74048316666667,1.710927625,0.0295555416666666,"word_group","Word",6
"boy plays football badly",1.74111886666667,1.714357,0.0267618666666667,"word_group","Word",7
"football is played well by charlie",1.44593226666667,1.42017475,0.0257575166666668,"word_group","Word",8
"charlie plays soccer badly",1.7406979,1.7166301,0.0240678000000001,"word_group","Word",9
"football is played badly by boy",1.74295353333333,1.72482915,0.0181243833333333,"word_group","Word",10
"soccer is played badly by charlie",1.742808,1.72695885,0.01584915,"word_group","Word",11
"football is played well by boy",1.4504476,1.43467315,0.0157744499999999,"word_group","Word",12
"boy plays soccer well",1.4043767,1.389434475,0.014942225,"word_group","Word",13
"soccer is played well by charlie",1.4496389,1.4360083,0.0136306000000002,"word_group","Word",14
"soccer is played well by boy",1.44570536666667,1.437125425,0.00857994166666654,"word_group","Word",15
"football is played by charlie",1.9444359,1.936099625,0.008336275,"word_group","Word",16
"soccer is played by boy",1.94433546666667,1.937967725,0.00636774166666676,"word_group","Word",17
"charlie plays football well",1.40231293333333,1.40247085,-0.000157916666666758,"word_group","Word",18
"soccer is played by charlie",1.94609406666667,1.949213675,-0.00311960833333336,"word_group","Word",19
"football is played by boy",1.94618976666667,1.949793825,-0.00360405833333322,"word_group","Word",20
"boy plays soccer",1.92293913333333,1.93074715,-0.00780801666666653,"word_group","Word",21
"charlie plays football",1.92344253333333,1.933938275,-0.0104957416666667,"word_group","Word",22
"charlie plays soccer",1.9166604,1.9421906,-0.0255301999999999,"word_group","Word",23
"boy plays football",1.9168861,1.945025575,-0.0281394750000001,"word_group","Word",24
"heidi beats charlie with difficulty",1.00285636666667,0.7923248,0.210531566666667,"sentence_group","Sentence",1
"heidi beats boy with difficulty",1.00318523333333,0.798800175,0.204385058333333,"sentence_group","Sentence",2
"charlie beats heidi with difficulty inside",0.737567933333333,0.545435,0.192132933333333,"sentence_group","Sentence",3
"sophia beats heidi in shower",1.33082333333333,1.144011725,0.186811608333333,"sentence_group","Sentence",4
"boy beats heidi with difficulty inside",0.737579633333333,0.55152965,0.186049983333333,"sentence_group","Sentence",5
"sophia beats heidi in bathroom",1.33150623333333,1.1460961,0.185410133333333,"sentence_group","Sentence",6
"sophia beats heidi with ease in bathroom",1.18019213333333,0.9949027,0.185289433333333,"sentence_group","Sentence",7
"sophia beats heidi with ease in shower",1.17988063333333,0.995045425,0.184835208333333,"sentence_group","Sentence",8
"charlie beats heidi with difficulty in bedroom",0.751610566666667,0.568833525,0.182777041666667,"sentence_group","Sentence",9
"boy beats heidi with difficulty in bedroom",0.7516473,0.57770625,0.17394105,"sentence_group","Sentence",10
"boy beats heidi with difficulty in playground",0.657033166666667,0.48592375,0.171109416666667,"sentence_group","Sentence",11
"charlie beats heidi with difficulty in playground",0.656964666666667,0.486662475,0.170302191666667,"sentence_group","Sentence",12
"sophia beats charlie with difficulty outside",0.901975966666667,0.737181975,0.164793991666667,"sentence_group","Sentence",13
"sophia beats boy with difficulty outside",0.902069333333333,0.7383852,0.163684133333333,"sentence_group","Sentence",14
"sophia beats heidi with difficulty inside",0.8156044,0.655317775,0.160286625,"sentence_group","Sentence",15
"charlie beats heidi with difficulty",0.690863966666667,0.530888425,0.159975541666667,"sentence_group","Sentence",16
"boy beats heidi with difficulty",0.690923033333333,0.532681575,0.158241458333333,"sentence_group","Sentence",17
"sophia beats charlie with ease in shower",0.7552188,0.5981074,0.1571114,"sentence_group","Sentence",18
"sophia beats charlie with ease in bathroom",0.7551475,0.598714075,0.156433425,"sentence_group","Sentence",19
"sophia beats boy with ease in shower",0.7552654,0.600148125,0.155117275,"sentence_group","Sentence",20
"sophia beats boy with ease in bathroom",0.755194066666667,0.600637175,0.154556891666667,"sentence_group","Sentence",21
"heidi loses to sophia in shower",1.35051606666667,1.196863625,0.153652441666667,"sentence_group","Sentence",22
"sophia beats heidi with difficulty in bedroom",0.8393318,0.687769625,0.151562175,"sentence_group","Sentence",23
"boy beats sophia in bathroom",0.914950433333333,0.768284425,0.146666008333333,"sentence_group","Sentence",24
"heidi loses to sophia in bathroom",1.35058506666667,1.204719325,0.145865741666666,"sentence_group","Sentence",25
"sophia beats boy with difficulty",0.763033333333333,0.619237575,0.143795758333333,"sentence_group","Sentence",26
"boy beats sophia with difficulty",0.716472766666667,0.572862675,0.143610091666667,"sentence_group","Sentence",27
"charlie loses to sophia in shower",0.758814933333333,0.6165048,0.142310133333333,"sentence_group","Sentence",28
"sophia beats charlie with difficulty",0.762870833333333,0.621461525,0.141409308333333,"sentence_group","Sentence",29
"heidi beats sophia with difficulty outside",0.880238666666667,0.7404029,0.139835766666667,"sentence_group","Sentence",30
"charlie beats sophia with difficulty",0.716644233333333,0.57759135,0.139052883333333,"sentence_group","Sentence",31
"heidi loses to charlie in shower",0.997561033333333,0.858652625,0.138908408333333,"sentence_group","Sentence",32
"boy loses to sophia in shower",0.758930633333333,0.62004465,0.138885983333333,"sentence_group","Sentence",33
"boy beats sophia in shower",0.913994766666667,0.775958775,0.138035991666667,"sentence_group","Sentence",34
"boy beats sophia with difficulty inside",0.6308507,0.49301385,0.13783685,"sentence_group","Sentence",35
