group_name,output_key,split,sentence,competing_formulas,competing_score,competing_scores,complexity_level,composition_preference,described_formulas,described_score,described_scores,location_score,lose_score,modifier_count,num_competing_events,num_described_events,play_score,play_toy_score,route_preference,systematicity_pattern_original,theoretical_max,theoretical_min,tokens,win_score
Word,word_group,train,boy plays soccer,(play_game charlie chess)|(play_game charlie hide_n_seek),-0.9438963532447815,-0.896557629108429|-0.991235077381134,Canonical,,(play_game charlie soccer),0.9544810652732849,0.9544810652732849,,,0,2,1,,,,True,1.0,-1.0,boy|plays|soccer,
Word,word_group,train,charlie plays football,(play_game charlie chess)|(play_game charlie hide_n_seek),-0.9414803087711334,-0.8919156789779663|-0.9910449385643005,Canonical,,(play_game charlie soccer),0.9539857506752014,0.9539857506752014,,,0,2,1,,,,True,1.0,-1.0,charlie|plays|football,
Word,word_group,train,football is played by charlie,(play_game charlie chess)|(play_game charlie hide_n_seek),-0.988970011472702,-0.9816620945930481|-0.996277928352356,Canonical,,(play_game charlie soccer),0.9538491368293762,0.9538491368293762,,,0,2,1,,,,True,1.0,-1.0,football|is|played|by|charlie,
Word,word_group,train,soccer is played by boy,(play_game charlie chess)|(play_game charlie hide_n_seek),-0.98906409740448,-0.9818266034126282|-0.9963015913963318,Canonical,,(play_game charlie soccer),0.9539143443107605,0.9539143443107605,,,0,2,1,,,,True,1.0,-1.0,soccer|is|played|by|boy,
Word,word_group,test,boy plays football,(play_game charlie chess)|(play_game charlie hide_n_seek),-0.9417976438999176,-0.8925637602806091|-0.9910315275192261,Canonical,,(play_game charlie soccer),0.9539797902107239,0.9539797902107239,,,0,2,1,,,,True,1.0,-1.0,boy|plays|football,
Word,word_group,test,charlie plays soccer,(play_game charlie chess)|(play_game charlie hide_n_seek),-0.9435942769050598,-0.8959398865699768|-0.9912486672401428,Canonical,,(play_game charlie soccer),0.9544877409934998,0.9544877409934998,,,0,2,1,,,,True,1.0,-1.0,charlie|plays|soccer,
Word,word_group,test,football is played by boy,(play_game charlie chess)|(play_game charlie hide_n_seek),-0.9889889061450958,-0.9816861748695374|-0.9962916374206543,Canonical,,(play_game charlie soccer),0.9536990523338318,0.9536990523338318,,,0,2,1,,,,True,1.0,-1.0,football|is|played|by|boy,
Word,word_group,test,soccer is played by charlie,(play_game charlie chess)|(play_game charlie hide_n_seek),-0.9890448749065399,-0.9818019270896912|-0.9962878227233887,Canonical,,(play_game charlie soccer),0.9540647864341736,0.9540647864341736,,,0,2,1,,,,True,1.0,-1.0,soccer|is|played|by|charlie,
Sentence,sentence_group,train,boy beats sophia,(win heidi)|(win sophia)|(lose charlie),-0.9631198644638062,-0.9844292402267456|-0.9554229378700256|-0.9495074152946472,Canonical,-0.01885509490966797,(win charlie)|(lose sophia)|(and (win charlie) (lose sophia)),0.8401275873184204,0.9284377098083496|0.7895276546478271|0.8401275873184204,,0.7895276546478271,0,3,3,,,,True,1.0,-0.9568905035654703,boy|beats|sophia,0.9284377098083496
Sentence,sentence_group,train,boy loses to sophia,(lose sophia)|(win charlie)|(win heidi),-0.950324018796285,-0.9583292007446289|-0.929646909236908|-0.9629959464073181,Canonical,-0.02041804790496826,(win sophia)|(lose charlie)|(and (lose charlie) (win sophia)),0.8767725825309753,0.9292584657669067|0.8651227951049805|0.8767725825309753,,0.8651227951049805,0,3,3,,,,True,1.0,-0.9643286069234213,boy|loses|to|sophia,0.9292584657669067
Sentence,sentence_group,train,charlie beats sophia,(win heidi)|(win sophia)|(lose charlie),-0.9630271593729655,-0.9843893051147461|-0.9553149938583374|-0.949377179145813,Canonical,-0.01887694001197815,(win charlie)|(lose sophia)|(and (win charlie) (lose sophia)),0.8398807048797607,0.9282878637313843|0.7892274260520935|0.8398807048797607,,0.7892274260520935,0,3,3,,,,True,1.0,-0.9568905035654703,charlie|beats|sophia,0.9282878637313843
Sentence,sentence_group,train,charlie loses to sophia,(lose sophia)|(win charlie)|(win heidi),-0.9501842459042867,-0.9581646919250488|-0.9295529723167419|-0.9628350734710693,Canonical,-0.02043449878692627,(win sophia)|(lose charlie)|(and (lose charlie) (win sophia)),0.8766545653343201,0.929097592830658|0.8650805354118347|0.8766545653343201,,0.8650805354118347,0,3,3,,,,True,1.0,-0.9643286069234213,charlie|loses|to|sophia,0.929097592830658
Sentence,sentence_group,train,heidi beats boy,(win charlie)|(win sophia)|(lose heidi),-0.9801512757937113,-0.9660373330116272|-0.9864295125007629|-0.9879869818687439,Canonical,-0.03075277805328369,(win heidi)|(lose charlie)|(and (win heidi) (lose charlie)),0.9067887663841248,0.960237443447113|0.9148456454277039|0.9067887663841248,,0.9148456454277039,0,3,3,,,,True,1.0,-0.9862007300059,heidi|beats|boy,0.960237443447113
Sentence,sentence_group,train,heidi beats charlie,(win charlie)|(win sophia)|(lose heidi),-0.9800401329994202,-0.9659824967384338|-0.9862363338470459|-0.9879015684127808,Canonical,-0.030783355236053467,(win heidi)|(lose charlie)|(and (win heidi) (lose charlie)),0.9066558480262756,0.9600667357444763|0.9148116707801819|0.9066558480262756,,0.9148116707801819,0,3,3,,,,True,1.0,-0.9862007300059,heidi|beats|charlie,0.9600667357444763
Sentence,sentence_group,train,heidi loses to boy,(lose charlie)|(win heidi)|(win sophia),-0.9728408853212992,-0.9675208330154419|-0.9908164739608765|-0.9601853489875793,Canonical,-0.06425949931144714,(win charlie)|(lose heidi)|(and (lose heidi) (win charlie)),0.7413543462753296,0.9317057132720947|0.6795219779014587|0.7413543462753296,,0.6795219779014587,0,3,3,,,,True,1.0,-0.9786379535992941,heidi|loses|to|boy,0.9317057132720947
Sentence,sentence_group,train,heidi loses to charlie,(lose charlie)|(win heidi)|(win sophia),-0.9726941386858622,-0.9673224687576294|-0.9907728433609009|-0.9599871039390564,Canonical,-0.06458866596221924,(win charlie)|(lose heidi)|(and (lose heidi) (win charlie)),0.7400467991828918,0.93159419298172|0.6776767373085022|0.7400467991828918,,0.6776767373085022,0,3,3,,,,True,1.0,-0.9786379535992941,heidi|loses|to|charlie,0.93159419298172
Sentence,sentence_group,train,sophia beats heidi,(win charlie)|(win heidi)|(lose sophia),-0.9878631035486857,-0.9847546815872192|-0.9896559715270996|-0.9891786575317383,Canonical,-0.0331721305847168,(win sophia)|(lose heidi)|(and (win sophia) (lose heidi)),0.9067792892456055,0.9486457705497742|0.9312570691108704|0.9067792892456055,,0.9312570691108704,0,3,3,,,,True,1.0,-0.9908405145009359,sophia|beats|heidi,0.9486457705497742
Sentence,sentence_group,train,sophia loses to heidi,(lose heidi)|(win charlie)|(win sophia),-0.9820331732432047,-0.98671555519104|-0.9694880843162537|-0.9898958802223206,Canonical,-0.03805646300315857,(win heidi)|(lose sophia)|(and (lose sophia) (win heidi)),0.8884932398796082,0.9494749903678894|0.903624415397644|0.8884932398796082,,0.903624415397644,0,3,3,,,,True,1.0,-0.9834784269332886,sophia|loses|to|heidi,0.9494749903678894
Sentence,sentence_group,test,boy beats heidi,(win heidi)|(win sophia)|(lose charlie),-0.9425548712412516,-0.9490022659301758|-0.9584968686103821|-0.920165479183197,Canonical,-0.14961670339107513,(win charlie)|(lose heidi)|(and (win charlie) (lose heidi)),0.35594356060028076,0.9177866578102112|0.09333387017250061|0.35594356060028076,,0.09333387017250061,0,3,3,,,-0.14961670339107513,True,1.0,-0.9786379535992941,boy|beats|heidi,0.9177866578102112
Sentence,sentence_group,test,boy loses to heidi,(lose heidi)|(win charlie)|(win sophia),-0.953819731871287,-0.9713807106018066|-0.9753960371017456|-0.9146824479103088,Canonical,-0.027689695358276367,(win heidi)|(lose charlie)|(and (lose charlie) (win heidi)),0.9098119735717773,0.9239256381988525|0.9510776996612549|0.9098119735717773,,0.9510776996612549,0,3,3,,,-0.027689695358276367,True,1.0,-0.9862007300059,boy|loses|to|heidi,0.9239256381988525
Sentence,sentence_group,test,charlie beats heidi,(win heidi)|(win sophia)|(lose charlie),-0.9424634377161661,-0.9489222168922424|-0.9584260582923889|-0.9200420379638672,Canonical,-0.14966574683785439,(win charlie)|(lose heidi)|(and (win charlie) (lose heidi)),0.35555434226989746,0.9176522493362427|0.09278792887926102|0.35555434226989746,,0.09278792887926102,0,3,3,,,-0.14966574683785439,True,1.0,-0.9786379535992941,charlie|beats|heidi,0.9176522493362427
Sentence,sentence_group,test,charlie loses to heidi,(lose heidi)|(win charlie)|(win sophia),-0.953746497631073,-0.9713526368141174|-0.9753747582435608|-0.9145120978355408,Canonical,-0.027730286121368408,(win heidi)|(lose charlie)|(and (lose charlie) (win heidi)),0.9096959233283997,0.9238116145133972|0.9510408043861389|0.9096959233283997,,0.9510408043861389,0,3,3,,,-0.027730286121368408,True,1.0,-0.9862007300059,charlie|loses|to|heidi,0.9238116145133972
Sentence,sentence_group,test,heidi beats sophia,(win charlie)|(win sophia)|(lose heidi),-0.9535293976465861,-0.9724370241165161|-0.9463791847229004|-0.9417719841003418,Canonical,-0.016321390867233276,(win heidi)|(lose sophia)|(and (win heidi) (lose sophia)),0.9113910794258118,0.9365478157997131|0.918877124786377|0.9113910794258118,,0.918877124786377,0,3,3,,,-0.016321390867233276,True,1.0,-0.9834784269332886,heidi|beats|sophia,0.9365478157997131
Sentence,sentence_group,test,heidi loses to sophia,(lose sophia)|(win charlie)|(win heidi),-0.983227550983429,-0.9913358688354492|-0.9628759026527405|-0.9954708814620972,Canonical,-0.029487162828445435,(win sophia)|(lose heidi)|(and (lose heidi) (win sophia)),0.9216405749320984,0.9612075090408325|0.9410479664802551|0.9216405749320984,,0.9410479664802551,0,3,3,,,-0.029487162828445435,True,1.0,-0.9908405145009359,heidi|loses|to|sophia,0.9612075090408325
Sentence,sentence_group,test,sophia beats boy,(win charlie)|(win heidi)|(lose sophia),-0.95137486855189,-0.9090756773948669|-0.9783397912979126|-0.9667091369628906,Canonical,-0.013030141592025757,(win sophia)|(lose charlie)|(and (win sophia) (lose charlie)),0.9075908064842224,0.9370337724685669|0.9042081236839294|0.9075908064842224,,0.9042081236839294,0,3,3,,,-0.013030141592025757,True,1.0,-0.9643286069234213,sophia|beats|boy,0.9370337724685669
