group_name,output_key,split,sentence,competing_formulas,competing_score,competing_scores,complexity_level,composition_preference,described_formulas,described_score,described_scores,location_score,lose_score,modifier_count,num_competing_events,num_described_events,play_score,play_toy_score,route_preference,systematicity_pattern_original,theoretical_max,theoretical_min,tokens,win_score
Word,word_group,train,boy plays soccer,(play_game charlie chess)|(play_game charlie hide_n_seek),-0.9900105893611908,-0.9864970445632935|-0.9935241341590881,Canonical,,(play_game charlie soccer),0.961345911026001,0.961345911026001,,,0,2,1,,,,True,1.0,-1.0,boy|plays|soccer,
Word,word_group,train,charlie plays football,(play_game charlie chess)|(play_game charlie hide_n_seek),-0.9889271855354309,-0.9848211407661438|-0.993033230304718,Canonical,,(play_game charlie soccer),0.9615058302879333,0.9615058302879333,,,0,2,1,,,,True,1.0,-1.0,charlie|plays|football,
Word,word_group,train,football is played by charlie,(play_game charlie chess)|(play_game charlie hide_n_seek),-0.9830217361450195,-0.9742026925086975|-0.9918407797813416,Canonical,,(play_game charlie soccer),0.95719975233078,0.95719975233078,,,0,2,1,,,,True,1.0,-1.0,football|is|played|by|charlie,
Word,word_group,train,soccer is played by boy,(play_game charlie chess)|(play_game charlie hide_n_seek),-0.9846489727497101,-0.9769423604011536|-0.9923555850982666,Canonical,,(play_game charlie soccer),0.9575678110122681,0.9575678110122681,,,0,2,1,,,,True,1.0,-1.0,soccer|is|played|by|boy,
Word,word_group,test,boy plays football,(play_game charlie chess)|(play_game charlie hide_n_seek),-0.9889808595180511,-0.9848834276199341|-0.9930782914161682,Canonical,,(play_game charlie soccer),0.9617539644241333,0.9617539644241333,,,0,2,1,,,,True,1.0,-1.0,boy|plays|football,
Word,word_group,test,charlie plays soccer,(play_game charlie chess)|(play_game charlie hide_n_seek),-0.9899712204933167,-0.9864524006843567|-0.9934900403022766,Canonical,,(play_game charlie soccer),0.961125910282135,0.961125910282135,,,0,2,1,,,,True,1.0,-1.0,charlie|plays|soccer,
Word,word_group,test,football is played by boy,(play_game charlie chess)|(play_game charlie hide_n_seek),-0.9829702079296112,-0.9741233587265015|-0.991817057132721,Canonical,,(play_game charlie soccer),0.9574499726295471,0.9574499726295471,,,0,2,1,,,,True,1.0,-1.0,football|is|played|by|boy,
Word,word_group,test,soccer is played by charlie,(play_game charlie chess)|(play_game charlie hide_n_seek),-0.984695166349411,-0.9770103693008423|-0.9923799633979797,Canonical,,(play_game charlie soccer),0.9573225378990173,0.9573225378990173,,,0,2,1,,,,True,1.0,-1.0,soccer|is|played|by|charlie,
Sentence,sentence_group,train,boy beats sophia,(win heidi)|(win sophia)|(lose charlie),-0.9546328186988831,-0.9658021330833435|-0.9591628909111023|-0.9389334321022034,Canonical,-0.021427065134048462,(win charlie)|(lose sophia)|(and (win charlie) (lose sophia)),0.8269645571708679,0.9170622825622559|0.7797209620475769|0.8269645571708679,,0.7797209620475769,0,3,3,,,,True,1.0,-0.9568905035654703,boy|beats|sophia,0.9170622825622559
Sentence,sentence_group,train,boy loses to sophia,(lose sophia)|(win charlie)|(win heidi),-0.9584814508756002,-0.9703443050384521|-0.938114583492279|-0.9669854640960693,Canonical,-0.02079370617866516,(win sophia)|(lose charlie)|(and (lose charlie) (win sophia)),0.878451406955719,0.9350106716156006|0.8634795546531677|0.878451406955719,,0.8634795546531677,0,3,3,,,,True,1.0,-0.9643286069234213,boy|loses|to|sophia,0.9350106716156006
Sentence,sentence_group,train,charlie beats sophia,(win heidi)|(win sophia)|(lose charlie),-0.9534187118212382,-0.9638532400131226|-0.9590583443641663|-0.9373445510864258,Canonical,-0.021841704845428467,(win charlie)|(lose sophia)|(and (win charlie) (lose sophia)),0.825586199760437,0.9156582355499268|0.7791975736618042|0.825586199760437,,0.7791975736618042,0,3,3,,,,True,1.0,-0.9568905035654703,charlie|beats|sophia,0.9156582355499268
Sentence,sentence_group,train,charlie loses to sophia,(lose sophia)|(win charlie)|(win heidi),-0.958428700764974,-0.9702830910682678|-0.9379100799560547|-0.9670929312705994,Canonical,-0.021202027797698975,(win sophia)|(lose charlie)|(and (lose charlie) (win sophia)),0.8763911128044128,0.9347639679908752|0.8604223132133484|0.8763911128044128,,0.8604223132133484,0,3,3,,,,True,1.0,-0.9643286069234213,charlie|loses|to|sophia,0.9347639679908752
