group_name,output_key,split,sentence,competing_formulas,competing_score,competing_scores,complexity_level,composition_preference,described_formulas,described_score,described_scores,location_score,lose_score,manner_score,modifier_count,num_competing_events,num_described_events,play_score,play_toy_score,route_preference,systematicity_pattern_original,theoretical_max,theoretical_min,tokens,win_score
Word,word_group,train,boy plays soccer,(play_game charlie chess)|(play_game charlie hide_n_seek),-0.9952496588230133,-0.993229329586029|-0.9972699880599976,Canonical,,(play_game charlie soccer),0.9606198072433472,0.9606198072433472,,,,0,2,1,,,,True,1.0,-1.0,boy|plays|soccer,
Word,word_group,train,boy plays soccer badly,(play_game charlie chess)|(play_game charlie hide_n_seek)|(play_manner charlie well),-0.9210012952486674,-0.9996734857559204|-0.9937249422073364|-0.7696054577827454,Manner,,(play_game charlie soccer)|(play_manner charlie badly)|(and (play_game charlie soccer) (play_manner charlie badly)),0.8181024789810181,0.9896820187568665|0.7519541382789612|0.8181024789810181,,,,1,3,3,,,,False,1.0,-0.9427472352981567,boy|plays|soccer|badly,
Word,word_group,train,boy plays soccer well,(play_game charlie chess)|(play_game charlie hide_n_seek)|(play_manner charlie badly),-0.8752524256706238,-0.9817901253700256|-0.9858546853065491|-0.6581124663352966,Manner,,(play_game charlie soccer)|(play_manner charlie well)|(and (play_game charlie soccer) (play_manner charlie well)),0.6506988406181335,0.9740903377532959|0.6371459364891052|0.6506988406181335,,,,1,3,3,,,,False,1.0,-0.8903494675954183,boy|plays|soccer|well,
Word,word_group,train,charlie plays football,(play_game charlie chess)|(play_game charlie hide_n_seek),-0.9952704310417175,-0.9932764172554016|-0.9972644448280334,Canonical,,(play_game charlie soccer),0.9607314467430115,0.9607314467430115,,,,0,2,1,,,,True,1.0,-1.0,charlie|plays|football,
Word,word_group,train,charlie plays football badly,(play_game charlie chess)|(play_game charlie hide_n_seek)|(play_manner charlie well),-0.9213613470395406,-0.9996746778488159|-0.9937648773193359|-0.77064448595047,Manner,,(play_game charlie soccer)|(play_manner charlie badly)|(and (play_game charlie soccer) (play_manner charlie badly)),0.818263590335846,0.9897223711013794|0.7521575093269348|0.818263590335846,,,,1,3,3,,,,False,1.0,-0.9427472352981567,charlie|plays|football|badly,
Word,word_group,train,charlie plays football well,(play_game charlie chess)|(play_game charlie hide_n_seek)|(play_manner charlie badly),-0.8774562478065491,-0.9815531373023987|-0.9856739044189453|-0.6651417016983032,Manner,,(play_game charlie soccer)|(play_manner charlie well)|(and (play_game charlie soccer) (play_manner charlie well)),0.6534748077392578,0.9739575982093811|0.6402626037597656|0.6534748077392578,,,,1,3,3,,,,False,1.0,-0.8903494675954183,charlie|plays|football|well,
Word,word_group,train,football is played badly by charlie,(play_game charlie chess)|(play_game charlie hide_n_seek)|(play_manner charlie well),-0.9301349322001139,-0.9996597766876221|-0.995240330696106|-0.7955046892166138,Manner,,(play_game charlie soccer)|(play_manner charlie badly)|(and (play_game charlie soccer) (play_manner charlie badly)),0.8226540088653564,0.9900647401809692|0.7572968006134033|0.8226540088653564,,,,1,3,3,,,,False,1.0,-0.9427472352981567,football|is|played|badly|by|charlie,
Word,word_group,train,football is played by charlie,(play_game charlie chess)|(play_game charlie hide_n_seek),-0.9968135356903076,-0.9961739182472229|-0.9974531531333923,Canonical,,(play_game charlie soccer),0.9585121273994446,0.9585121273994446,,,,0,2,1,,,,True,1.0,-1.0,football|is|played|by|charlie,
Word,word_group,train,football is played well by charlie,(play_game charlie chess)|(play_game charlie hide_n_seek)|(play_manner charlie badly),-0.838186502456665,-0.9878633618354797|-0.9891566634178162|-0.5375394821166992,Manner,,(play_game charlie soccer)|(play_manner charlie well)|(and (play_game charlie soccer) (play_manner charlie well)),0.6105360984802246,0.9725064039230347|0.5914298295974731|0.6105360984802246,,,,1,3,3,,,,False,1.0,-0.8903494675954183,football|is|played|well|by|charlie,
Word,word_group,train,soccer is played badly by boy,(play_game charlie chess)|(play_game charlie hide_n_seek)|(play_manner charlie well),-0.9300829768180847,-0.9996591806411743|-0.9952152967453003|-0.7953744530677795,Manner,,(play_game charlie soccer)|(play_manner charlie badly)|(and (play_game charlie soccer) (play_manner charlie badly)),0.8225377798080444,0.9900243878364563|0.7571526765823364|0.8225377798080444,,,,1,3,3,,,,False,1.0,-0.9427472352981567,soccer|is|played|badly|by|boy,
Word,word_group,train,soccer is played by boy,(play_game charlie chess)|(play_game charlie hide_n_seek),-0.9967906773090363,-0.9961434602737427|-0.9974378943443298,Canonical,,(play_game charlie soccer),0.9583562612533569,0.9583562612533569,,,,0,2,1,,,,True,1.0,-1.0,soccer|is|played|by|boy,
Word,word_group,train,soccer is played well by boy,(play_game charlie chess)|(play_game charlie hide_n_seek)|(play_manner charlie badly),-0.8412793676058451,-0.9877641797065735|-0.9889624714851379|-0.547111451625824,Manner,,(play_game charlie soccer)|(play_manner charlie well)|(and (play_game charlie soccer) (play_manner charlie well)),0.6136105060577393,0.9723415970802307|0.594818115234375|0.6136105060577393,,,,1,3,3,,,,False,1.0,-0.8903494675954183,soccer|is|played|well|by|boy,
Word,word_group,test,boy plays football,(play_game charlie chess)|(play_game charlie hide_n_seek),-0.9952860772609711,-0.9932977557182312|-0.9972743988037109,Canonical,,(play_game charlie soccer),0.960578203201294,0.960578203201294,,,,0,2,1,,,,True,1.0,-1.0,boy|plays|football,
Word,word_group,test,boy plays football badly,(play_game charlie chess)|(play_game charlie hide_n_seek)|(play_manner charlie well),-0.9211951494216919,-0.9996755123138428|-0.9937678575515747|-0.7701420783996582,Manner,,(play_game charlie soccer)|(play_manner charlie badly)|(and (play_game charlie soccer) (play_manner charlie badly)),0.8182000517845154,0.9897202849388123|0.752068042755127|0.8182000517845154,,,,1,3,3,,,,False,1.0,-0.9427472352981567,boy|plays|football|badly,
Word,word_group,test,boy plays football well,(play_game charlie chess)|(play_game charlie hide_n_seek)|(play_manner charlie badly),-0.8765461842219034,-0.9816506505012512|-0.9857801795005798|-0.6622077226638794,Manner,,(play_game charlie soccer)|(play_manner charlie well)|(and (play_game charlie soccer) (play_manner charlie well)),0.6523928046226501,0.9740285277366638|0.6390414237976074|0.6523928046226501,,,,1,3,3,,,,False,1.0,-0.8903494675954183,boy|plays|football|well,
Word,word_group,test,charlie plays soccer,(play_game charlie chess)|(play_game charlie hide_n_seek),-0.9952340126037598,-0.9932079911231995|-0.9972600340843201,Canonical,,(play_game charlie soccer),0.9607721567153931,0.9607721567153931,,,,0,2,1,,,,True,1.0,-1.0,charlie|plays|soccer,
Word,word_group,test,charlie plays soccer badly,(play_game charlie chess)|(play_game charlie hide_n_seek)|(play_manner charlie well),-0.9211685458819071,-0.9996726512908936|-0.9937217235565186|-0.7701112627983093,Manner,,(play_game charlie soccer)|(play_manner charlie badly)|(and (play_game charlie soccer) (play_manner charlie badly)),0.8181647062301636,0.9896838665008545|0.7520421147346497|0.8181647062301636,,,,1,3,3,,,,False,1.0,-0.9427472352981567,charlie|plays|soccer|badly,
Word,word_group,test,charlie plays soccer well,(play_game charlie chess)|(play_game charlie hide_n_seek)|(play_manner charlie badly),-0.8761707345644633,-0.9816932678222656|-0.9857491254806519|-0.6610698103904724,Manner,,(play_game charlie soccer)|(play_manner charlie well)|(and (play_game charlie soccer) (play_manner charlie well)),0.6517887115478516,0.9740192294120789|0.6383751630783081|0.6517887115478516,,,,1,3,3,,,,False,1.0,-0.8903494675954183,charlie|plays|soccer|well,
Word,word_group,test,football is played badly by boy,(play_game charlie chess)|(play_game charlie hide_n_seek)|(play_manner charlie well),-0.9300106167793274,-0.9996611475944519|-0.9952455163002014|-0.7951251864433289,Manner,,(play_game charlie soccer)|(play_manner charlie badly)|(and (play_game charlie soccer) (play_manner charlie badly)),0.8225743770599365,0.9900543689727783|0.7571879625320435|0.8225743770599365,,,,1,3,3,,,,False,1.0,-0.9427472352981567,football|is|played|badly|by|boy,
Word,word_group,test,football is played by boy,(play_game charlie chess)|(play_game charlie hide_n_seek),-0.9968114495277405,-0.9961691498756409|-0.9974537491798401,Canonical,,(play_game charlie soccer),0.9584842324256897,0.9584842324256897,,,,0,2,1,,,,True,1.0,-1.0,football|is|played|by|boy,
